Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.88931E-9,0.000000489,0.000000137,1,0,0
5.56963E-9,0.000001046,0.000000156,0.9999001,0,0
7.72302E-9,0.000002505,0.000000217,0.9997003,0,0
1.44862E-8,0.000010758,0.000000407,0.999000999,0,0
1.89408E-8,0.00002597,0.000000532,0.998101898,0,0
2.39602E-8,0.000052214,0.000000673,0.996903097,0,0
3.40863E-8,0.000103189,0.000000957,0.995104895,0,0
5.87078E-8,0.000251314,0.000001648,0.991908092,0,0
1.02901E-7,0.000505357,0.000002888,0.988711289,0,0
1.26548E-7,0.001006966,0.000003552,0.984415584,0,0
1.77986E-7,0.002506331,0.000004996,0.974825175,0,0
2.40834E-7,0.005009317,0.00000676,0.962937063,0,0
3.25894E-7,0.01001658,0.000009147,0.945554446,0,0
4.84033E-7,0.025012918,0.000013586,0.909090909,0,0
6.43318E-7,0.050058266,0.000018057,0.865034965,0,0
8.18986E-7,0.100075993,0.000022988,0.796903097,0,0
1.12234E-6,0.200059327,0.000031502,0.693206793,0,0
1.38641E-6,0.300041694,0.000038914,0.613586414,0,0
1.63623E-6,0.40014006,0.000045926,0.547452547,0,0
1.87136E-6,0.500132372,0.000052526,0.490509491,0,0
2.11038E-6,0.600017715,0.000059235,0.44035964,0,0
2.39199E-6,0.70002868,0.000067139,0.395804196,0,0
2.53452E-6,0.750132194,0.000071139,0.375524476,0,0
2.69963E-6,0.800058642,0.000075773,0.356443556,0,0
3.0568E-6,0.900285722,0.000085798,0.321478521,0,0
3.46675E-6,1.000205951,0.000097303,0.290709291,0,0
4.00301E-6,1.100144828,0.000112354,0.263936064,0,0
4.52804E-6,1.200177674,0.00012709,0.24045954,0,0
5.10678E-6,1.300120911,0.000143332,0.21968032,0,0
5.79365E-6,1.400444003,0.000162609,0.201298701,0,0
6.40606E-6,1.500423533,0.000179796,0.184915085,0,0
8.23789E-6,1.750484103,0.000231203,0.150549451,0,0
1.0464E-5,2.0010008,0.000293671,0.123476523,0,0
1.27038E-5,2.250128737,0.000356518,0.101798202,0,0
1.53429E-5,2.500111792,0.000430568,0.083816184,0,0
1.79976E-5,2.751336032,0.000505046,0.068731269,0,0
2.10031E-5,3.001271209,0.000589361,0.055944056,0,0
2.47657E-5,3.251917334,0.000694906,0.044955045,0,0
2.91413E-5,3.501672718,0.000817631,0.035664336,0,0
3.38815E-5,3.752560313,0.000950568,0.027672328,0,0
3.85926E-5,4.000661804,0.001082669,0.020779221,0,0
4.54215E-5,4.251533103,0.001274124,0.014785215,0,0
5.57333E-5,4.503442059,0.001563155,0.00969031,0,0
7.4593E-5,4.752062913,0.00209156,0.005894106,0,0
2.34245E-4,5.002391997,0.006553439,0.003496503,0,0
1.36013E-3,5.37472698,0.037457822,0.003196803,0,0
1.47203E-3,5.521929693,0.040476351,0.003096903,0,0
1.98579E-3,5.878015248,0.05421427,0.002897103,0,0
1.98887E-3,6.076902043,0.054295869,0.002797203,0,0
2.0071E-3,6.277612074,0.054779722,0.002697303,0,0
2.42099E-3,6.724128061,0.065697317,0.002497502,0,0
2.62179E-3,6.98630753,0.070948524,0.002397602,0,0
2.72916E-3,7.259223973,0.073744248,0.002297702,0,0
3.00152E-3,7.559376081,0.080798269,0.002197802,0,0
3.64912E-3,7.924287762,0.097355984,0.002097902,0,0
5.23782E-3,8.448070016,0.136723629,0.001998002,0,0
5.80979E-3,9.029049337,0.150472558,0.001898102,0,0
7.81222E-3,9.810271391,0.196904103,0.001798202,0,0
1.33512E-2,11.145389986,0.312541848,0.001698302,0,0
1.34939E-2,12.494778563,0.315289913,0.001598402,0,0
2.09096E-2,14.585735256,0.443957445,0.001498501,0,0
2.21143E-2,16.797166305,0.462446176,0.001398601,0,0
2.9725E-2,19.769663078,0.565843346,0.001298701,0,0
3.24552E-2,23.015181144,0.597871737,0.001198801,0,0
3.53272E-2,26.54790199,0.629017023,0.001098901,0,0
4.67882E-2,31.226720556,0.731068121,0.000999001,0.1,0
5.13404E-2,36.360759937,0.763326343,0.000899101,0.2,0
5.1856E-2,41.5463601,0.766726957,0.000799201,0.3,0
5.45414E-2,47.000502913,0.783664073,0.000699301,0.4,0
7.1857E-2,54.186198308,0.866939611,0.000599401,0.5,0
7.4068E-2,61.592999366,0.874946588,0.0004995,0.6,0
8.05831E-2,69.651313697,0.895846295,0.0003996,0.7,0
8.31197E-2,77.963283434,0.90300405,0.0002997,0.8,0
8.67543E-2,86.638711291,0.912411457,0.0001998,0.8,0
1.33613E-1,100,0.976491164,0.0000999,0.9,0
1.33613E-1,100,0.976491164,0,0.9,0
