Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.06932E-8,0.000001069,0.000002729,1,0,0
1.1776E-8,0.000003396,0.000003005,0.999801725,0,0
1.26944E-8,0.000010781,0.000003239,0.9992069,0,0
1.37884E-8,0.000025241,0.000003518,0.998116387,0,0
1.54213E-8,0.000051302,0.000003935,0.996331912,0,0
1.68223E-8,0.00010166,0.000004292,0.99325865,0,0
2.08289E-8,0.000251861,0.000005315,0.985426787,0,0
2.48534E-8,0.00050116,0.000006342,0.974620799,0,0
3.2203E-8,0.001002674,0.000008217,0.957271736,0,0
4.81435E-8,0.002502154,0.000012284,0.920293447,0,0
6.60783E-8,0.005001173,0.000016861,0.876573808,0,0
9.67346E-8,0.010003697,0.000024683,0.815207693,0,0
1.58368E-7,0.025003219,0.000040409,0.697729751,0,0
2.3281E-7,0.050001455,0.000059403,0.570734609,0,0
3.75042E-7,0.100019341,0.000095693,0.404084465,0,0
7.41151E-7,0.200017152,0.000189098,0.215822346,0,0
1.4378E-6,0.300066815,0.000366809,0.117775354,0,0
2.81357E-6,0.400045057,0.000717667,0.066917815,0,0
5.94045E-6,0.500510499,0.001514645,0.041241202,0,0
1.97955E-4,0.605731081,0.049256759,0.034004164,0,0
2.51114E-4,0.71921285,0.062065766,0.033508476,0,0
2.68715E-4,0.771305998,0.066268786,0.033310201,0,0
2.86872E-4,0.827310017,0.070584737,0.033111926,0,0
2.9905E-4,0.915302847,0.073468277,0.032814514,0,0
3.10001E-4,1.007027126,0.076053815,0.032517101,0,0
3.25461E-4,1.10300417,0.079691362,0.032219689,0,0
3.50015E-4,1.205339858,0.085439474,0.031922276,0,0
3.90396E-4,1.318901854,0.094814407,0.031624864,0,0
4.33208E-4,1.442515025,0.104648944,0.031327451,0,0
4.42424E-4,1.53043205,0.106752116,0.031129176,0,0
5.2974E-4,1.775279359,0.126433491,0.030633489,0,0
5.7644E-4,2.04946716,0.136781353,0.030137801,0,0
6.08008E-4,2.287296418,0.143706576,0.029741251,0,0
6.32307E-4,2.53654525,0.148999325,0.029344701,0.011363636,0
6.72321E-4,2.801576031,0.157644088,0.028948151,0.011363636,0
7.01118E-4,3.00908806,0.163810947,0.028650739,0.011363636,0
7.26834E-4,3.297501084,0.169280046,0.028254189,0.011363636,0
7.61181E-4,3.519234638,0.176528721,0.027956776,0.011363636,0
8.02492E-4,3.75293543,0.18516346,0.027659364,0.011363636,0
8.36458E-4,4.083058709,0.192194949,0.027262814,0.011363636,0
8.41224E-4,4.250891007,0.193176764,0.027064539,0.011363636,0
8.77794E-4,4.511343046,0.200670606,0.026767126,0.011363636,0
9.08056E-4,4.780373733,0.206819075,0.026469713,0.022727273,0
9.90704E-4,5.073957955,0.223371268,0.026172301,0.022727273,0
1.00259E-3,5.273836971,0.225722459,0.025974026,0.022727273,0
1.02606E-3,5.580210915,0.230345908,0.025676613,0.022727273,0
1.03704E-3,5.786766685,0.232499452,0.025478338,0.022727273,0
1.04203E-3,6.099305765,0.233475694,0.025180926,0.022727273,0
1.10849E-3,6.318799683,0.246365672,0.024982651,0.022727273,0
1.1181E-3,6.541643298,0.248211136,0.024784376,0.022727273,0
1.13794E-3,6.768916702,0.252007452,0.024586101,0.022727273,0
1.18551E-3,7.005682136,0.261031186,0.024387826,0.022727273,0
1.22394E-3,7.250416413,0.268243087,0.024189551,0.022727273,0
1.22939E-3,7.618230317,0.269258938,0.023892138,0.022727273,0
1.25713E-3,7.868491395,0.274414205,0.023693863,0.022727273,0
1.27187E-3,8.121606303,0.277137707,0.023495588,0.022727273,0
1.2939E-3,8.379388303,0.281190342,0.023297313,0.045454545,0
1.30065E-3,8.509453759,0.282427468,0.023198176,0.045454545,0
1.31123E-3,8.770830517,0.284361421,0.022999901,0.045454545,0
1.34436E-3,9.037284892,0.290384726,0.022801626,0.045454545,0
1.37344E-3,9.310860501,0.295631436,0.022603351,0.056818182,0
1.38348E-3,9.586889385,0.297433597,0.022405076,0.056818182,0
1.40861E-3,9.868597536,0.301923577,0.022206801,0.056818182,0
1.41053E-3,10.009650599,0.302266287,0.022107663,0.068181818,0
1.42056E-3,10.293439541,0.304049278,0.021909388,0.068181818,0
1.44813E-3,10.582377652,0.308927838,0.021711113,0.068181818,0
1.46796E-3,10.874479287,0.312415977,0.021512838,0.079545455,0
1.48721E-3,11.023200153,0.315785137,0.021413701,0.090909091,0
1.49267E-3,11.321338779,0.316738663,0.021215426,0.102272727,0
1.49866E-3,11.620620809,0.317781663,0.021017151,0.102272727,0
1.52535E-3,11.773155451,0.322411222,0.020918013,0.102272727,0
1.54922E-3,12.082129227,0.326525679,0.020719738,0.102272727,0
1.56024E-3,12.393850459,0.328416732,0.020521463,0.102272727,0
1.57491E-3,12.55134165,0.330926973,0.020422326,0.102272727,0
1.60519E-3,12.870616918,0.336076822,0.020224051,0.102272727,0
1.62693E-3,13.033310272,0.33974962,0.020124913,0.102272727,0
1.64102E-3,13.360946287,0.342118424,0.019926638,0.102272727,0
1.65319E-3,13.526265428,0.344158568,0.019827501,0.102272727,0
1.66983E-3,13.858834169,0.346936477,0.019629226,0.102272727,0
1.67759E-3,14.026592749,0.348228232,0.019530088,0.102272727,0
1.72477E-3,14.371122543,0.356028738,0.019331813,0.113636364,0
1.73071E-3,14.544193761,0.357004022,0.019232676,0.113636364,0
1.76603E-3,14.89703094,0.362771773,0.019034401,0.113636364,0
1.77634E-3,15.074664975,0.364446821,0.018935263,0.113636364,0
1.77814E-3,15.25247947,0.364739406,0.018836126,0.113636364,0
1.80282E-3,15.612496383,0.368727043,0.018637851,0.113636364,0
1.81563E-3,15.79405891,0.370785863,0.018538713,0.113636364,0
1.81811E-3,16.157598179,0.371184389,0.018340438,0.113636364,0
1.82415E-3,16.340013359,0.372153337,0.018241301,0.113636364,0
1.82798E-3,16.522811163,0.37276602,0.018142163,0.125,0
1.85547E-3,16.893238454,0.377150916,0.017943888,0.125,0
