Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.83376E-3,0.183375959,0.062404172,1,0,0
2.69748E-3,0.453123465,0.090432737,0.976190476,0,0
4.02647E-3,0.855770417,0.131932448,0.952380952,0,0
5.4934E-3,1.405110534,0.175544506,0.928571429,0,0
6.69529E-3,2.074639092,0.209638643,0.904761905,0,0
7.17498E-3,2.792137442,0.222849369,0.880952381,0,0
7.40498E-3,3.53263501,0.229104736,0.857142857,0,0
9.56432E-3,4.489067094,0.285433912,0.833333333,0,0
1.05775E-2,5.546815854,0.310426069,0.80952381,0,0
1.07054E-2,6.617355831,0.313518538,0.785714286,0,0
1.14257E-2,7.759921893,0.330674799,0.761904762,0,0
1.25361E-2,9.013532661,0.356288822,0.738095238,0,0
1.51724E-2,10.530771161,0.413240962,0.714285714,0,0
1.56337E-2,12.094140172,0.422675511,0.69047619,0,0
1.58611E-2,13.680252746,0.427271008,0.666666667,0,0
1.99817E-2,15.678427516,0.504474664,0.642857143,0.111111111,0
2.04679E-2,17.725221822,0.512868498,0.619047619,0.111111111,0
2.10405E-2,19.829270788,0.522571004,0.595238095,0.111111111,0
2.16436E-2,21.993634948,0.532583208,0.571428571,0.111111111,0
2.31322E-2,24.306856954,0.556403961,0.547619048,0.111111111,0
2.37906E-2,26.685916285,0.566548543,0.523809524,0.111111111,0
2.64228E-2,29.328199408,0.604841937,0.5,0.111111111,0
2.64652E-2,31.974714868,0.605429178,0.476190476,0.222222222,0
2.6537E-2,34.628410941,0.6064235,0.452380952,0.222222222,0
2.71004E-2,37.338454977,0.614139695,0.428571429,0.222222222,0
2.86658E-2,40.205035798,0.634790894,0.404761905,0.222222222,0
2.95658E-2,43.161613431,0.646159522,0.380952381,0.222222222,0
2.95901E-2,46.120622842,0.646461749,0.357142857,0.333333333,0
2.96393E-2,49.084550318,0.64707219,0.333333333,0.333333333,0
3.02796E-2,52.112513499,0.654924897,0.30952381,0.333333333,0
3.05796E-2,55.170471282,0.658542812,0.285714286,0.333333333,0
3.19672E-2,58.367190793,0.674792659,0.261904762,0.333333333,0
3.42205E-2,61.789242739,0.699549326,0.238095238,0.444444444,0
3.54387E-2,65.333114165,0.712139048,0.214285714,0.444444444,0
3.60855E-2,68.941664238,0.718607585,0.19047619,0.444444444,0
3.61652E-2,72.558187307,0.719394837,0.166666667,0.444444444,0
3.6914E-2,76.249586864,0.726681499,0.142857143,0.444444444,0
3.73529E-2,79.984881696,0.730864905,0.119047619,0.555555556,0
3.87842E-2,83.863302463,0.74406575,0.095238095,0.555555556,0
4.54678E-2,88.410078023,0.797636012,0.071428571,0.666666667,0
4.72222E-2,93.132298159,0.809734838,0.047619048,0.777777778,0
6.8677E-2,100,0.910474827,0.023809524,0.888888889,0
