Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.29509E-8,0.000001295,0.000043575,1,0,0
1.5261E-8,0.000002821,0.000051348,0.999874071,0,0
2.30009E-8,0.000010444,0.000077389,0.999370356,0,0
2.88393E-8,0.000026872,0.000097032,0.998614784,0,0
3.89642E-8,0.000050225,0.000131096,0.997733283,0,0
4.91413E-8,0.000100254,0.000165334,0.996348067,0,0
8.23114E-8,0.000254044,0.000276918,0.993451706,0,0
1.21318E-7,0.000503791,0.000408118,0.990429417,0,0
1.85868E-7,0.001007671,0.0006252,0.98614784,0,0
2.94109E-7,0.002522502,0.000989111,0.978214331,0,0
4.5981E-7,0.005010085,0.001545942,0.969903035,0,0
7.07238E-7,0.010044441,0.002376838,0.959073165,0,0
1.31312E-6,0.025047774,0.004408545,0.940057927,0,0
1.9657E-6,0.050106053,0.006592246,0.920916761,0,0
2.86753E-6,0.100201884,0.009602069,0.894975444,0,0
4.48772E-6,0.20040827,0.014986548,0.860345045,0,0
5.96071E-6,0.300353919,0.019856424,0.836292658,0,0
7.59463E-6,0.400189683,0.02523019,0.817655207,0,0
9.04548E-6,0.500876788,0.029977147,0.802291903,0,0
1.00286E-5,0.60026718,0.033180577,0.789195315,0,0
1.09557E-5,0.700970617,0.036191899,0.777106158,0,0
1.14427E-5,0.750157204,0.03776974,0.771565294,0,0
1.18484E-5,0.80032775,0.039082488,0.766150359,0,0
1.27197E-5,0.901002878,0.041895397,0.755824204,0,0
1.34529E-5,1.000588369,0.044256188,0.74625362,0,0
1.41747E-5,1.101386707,0.046574598,0.737060824,0,0
1.48038E-5,1.201272067,0.048590688,0.728371742,0,0
1.55971E-5,1.300234966,0.051126779,0.720186375,0,0
1.62004E-5,1.400218985,0.053050902,0.712252865,0,0
1.70075E-5,1.501442619,0.055619269,0.704571213,0,0
1.87117E-5,1.751203176,0.061019027,0.686941191,0,0
2.02024E-5,2.000417552,0.065716879,0.670822315,0.005128205,0
2.16547E-5,2.251549928,0.070271209,0.655710868,0.005128205,0
2.31051E-5,2.501240045,0.074797257,0.641606851,0.005128205,0
2.46518E-5,2.751862186,0.079599776,0.628384334,0.005128205,0
2.63095E-5,3.001606307,0.084719307,0.616043319,0.005128205,0
2.8014E-5,3.251625689,0.089953461,0.604457877,0.01025641,0
3.00448E-5,3.500580671,0.096150955,0.593628007,0.015384615,0
3.16324E-5,3.752948233,0.100966081,0.583301851,0.020512821,0
3.29462E-5,4.001882207,0.104931678,0.573605339,0.025641026,0
3.43756E-5,4.251145253,0.109226337,0.564286614,0.025641026,0
