Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.57134E-6,0.000157134,0.001766019,1,0,0
2.38382E-6,0.000395516,0.002677934,0.999667111,0,0
2.92626E-6,0.000688142,0.003286294,0.999334221,0,0
5.00683E-6,0.001483521,0.005616285,0.998668442,0,0
5.12852E-6,0.003002602,0.00575239,0.997669774,0,0
5.89148E-6,0.00517348,0.006605336,0.996338216,0,0
6.56204E-6,0.01020713,0.007354374,0.9936751,0,0
8.63819E-6,0.025698585,0.00966992,0.98701731,0,0
1.06596E-5,0.050109785,0.01191922,0.978695073,0,0
1.29601E-5,0.101180104,0.014472862,0.964380826,0,0
1.64194E-5,0.20105138,0.018300446,0.941744341,0,0
1.86646E-5,0.301339753,0.020776687,0.92276964,0,0
2.09702E-5,0.402038999,0.023313026,0.905792277,0,0
2.32526E-5,0.501158859,0.025817377,0.89081225,0,0
2.48899E-5,0.600004896,0.027610024,0.877163782,0,0
2.69231E-5,0.70119236,0.02983138,0.864181092,0,0
2.82474E-5,0.750788885,0.031275605,0.858189081,0,0
2.93513E-5,0.802500257,0.032477744,0.852197071,0,0
3.10703E-5,0.902294991,0.034346872,0.841211718,0,0
3.23079E-5,1.000590019,0.03569027,0.830892144,0,0
3.36951E-5,1.102985998,0.037193825,0.82057257,0,0
3.48293E-5,1.202520733,0.038421463,0.810918775,0,0
3.59852E-5,1.301621552,0.039670964,0.80159787,0,0
3.71143E-5,1.400217907,0.040889817,0.792609854,0,0
3.87046E-5,1.50283453,0.042604113,0.783621838,0,0
4.23598E-5,1.750757192,0.046532471,0.763315579,0.006493506,0
4.57815E-5,2.001611738,0.05019537,0.744340879,0.012987013,0
4.89851E-5,2.253602597,0.053611966,0.726697736,0.012987013,0
5.2724E-5,2.503406274,0.057584003,0.710386152,0.012987013,0
5.56304E-5,2.752152867,0.060660088,0.695073236,0.019480519,0
5.85457E-5,3.003477743,0.06373546,0.680426099,0.019480519,0
6.1617E-5,3.250458257,0.066964545,0.66677763,0.025974026,0
6.4211E-5,3.501056854,0.069683151,0.653462051,0.025974026,0
6.70064E-5,3.750382745,0.072604002,0.64081225,0.025974026,0
6.90234E-5,4.002626381,0.074705787,0.62849534,0.025974026,0
7.20744E-5,4.257105495,0.077875957,0.616511318,0.025974026,0
7.51072E-5,4.507153372,0.081016408,0.605193076,0.025974026,0
7.69872E-5,4.750328183,0.082957817,0.594540613,0.025974026,0
8.10236E-5,5.003831551,0.08711227,0.583888149,0.025974026,0
8.36703E-5,5.251238312,0.089826047,0.573901465,0.025974026,0
8.62968E-5,5.506206603,0.092511239,0.56391478,0.025974026,0
8.98513E-5,5.75361759,0.096132444,0.554593875,0.025974026,0
9.29707E-5,6.000486156,0.099298537,0.545605859,0.025974026,0
9.53893E-5,6.254715484,0.101745762,0.536617843,0.025974026,0
9.78085E-5,6.506020678,0.104186891,0.527962716,0.025974026,0
1.01208E-4,6.754796011,0.107606425,0.519640479,0.025974026,0
1.03477E-4,7.000751419,0.109880964,0.511651132,0.025974026,0
1.05911E-4,7.252566024,0.112314125,0.503661784,0.025974026,0
1.0907E-4,7.500589005,0.115463855,0.496005326,0.032467532,0
1.12503E-4,7.755552466,0.118873043,0.488348868,0.032467532,0
1.16414E-4,8.006594613,0.122740159,0.4810253,0.032467532,0
1.19806E-4,8.25577938,0.12608156,0.474034621,0.032467532,0
1.21562E-4,8.509027092,0.127806179,0.467043941,0.032467532,0
1.24871E-4,8.755130824,0.131046765,0.460386152,0.045454545,0
1.27468E-4,9.007766784,0.133581283,0.453728362,0.045454545,0
1.29891E-4,9.25195607,0.1359393,0.447403462,0.051948052,0
1.3283E-4,9.501179287,0.138791437,0.441078562,0.051948052,0
1.37766E-4,9.758399902,0.143560237,0.434753662,0.051948052,0
1.40162E-4,10.008266636,0.145865099,0.428761651,0.051948052,0
1.42581E-4,10.263119708,0.148186483,0.42276964,0.051948052,0
1.44573E-4,10.507410248,0.15009297,0.417110519,0.051948052,0
1.48568E-4,10.756414784,0.153903645,0.411451398,0.051948052,0
1.49745E-4,11.01000858,0.155023653,0.405792277,0.051948052,0
1.51323E-4,11.250947866,0.156522037,0.400466045,0.051948052,0
1.54078E-4,11.510580488,0.159131604,0.394806924,0.058441558,0
1.57359E-4,11.760386524,0.162229356,0.389480692,0.064935065,0
1.60288E-4,12.014413207,0.164985457,0.384154461,0.071428571,0
1.62657E-4,12.257002779,0.167207514,0.379161119,0.071428571,0
1.66097E-4,12.504403931,0.170423678,0.374167776,0.077922078,0
1.70166E-4,12.75724246,0.174211939,0.369174434,0.077922078,0
1.73661E-4,13.015431199,0.177452185,0.364181092,0.084415584,0
1.76497E-4,13.261018124,0.180072532,0.359520639,0.084415584,0
1.80915E-4,13.511991798,0.1841374,0.354860186,0.084415584,0
1.84293E-4,13.767401267,0.187231372,0.350199734,0.090909091,0
1.87441E-4,14.009127193,0.190104243,0.34587217,0.090909091,0
1.90179E-4,14.254398426,0.192595278,0.341544607,0.090909091,0
1.93108E-4,14.503877342,0.195250691,0.337217044,0.090909091,0
1.96434E-4,14.756804911,0.198256226,0.332889481,0.090909091,0
1.99779E-4,15.0135515,0.201266676,0.328561917,0.090909091,0
2.04467E-4,15.256491793,0.205468434,0.324567244,0.097402597,0
2.06319E-4,15.502719663,0.207121512,0.32057257,0.097402597,0
2.104E-4,15.752906135,0.210753296,0.316577896,0.097402597,0
2.16584E-4,16.009330556,0.21622463,0.312583222,0.097402597,0
2.21138E-4,16.250228739,0.220229328,0.308921438,0.097402597,0
2.25034E-4,16.51827729,0.223638792,0.304926764,0.103896104,0
2.28131E-4,16.767709243,0.226339095,0.30126498,0.103896104,0
2.32641E-4,17.021690044,0.230253917,0.297603196,0.103896104,0
2.35966E-4,17.256566374,0.233127318,0.294274301,0.11038961,0
2.40346E-4,17.519177618,0.236896343,0.290612517,0.11038961,0
2.42723E-4,17.760642709,0.238934127,0.287283622,0.116883117,0
2.45379E-4,18.004569463,0.241205189,0.283954727,0.116883117,0
2.52326E-4,18.254022165,0.247111441,0.280625832,0.116883117,0
2.55008E-4,18.507899925,0.249379015,0.277296937,0.123376623,0
2.59336E-4,18.764725263,0.253025132,0.273968043,0.123376623,0
2.63889E-4,19.026350001,0.256841178,0.270639148,0.12987013,0
2.67353E-4,19.265528254,0.259730981,0.267643142,0.12987013,0
2.70459E-4,19.507432392,0.26231294,0.264647137,0.136363636,0
2.74662E-4,19.752707593,0.26579248,0.261651132,0.136363636,0
2.79662E-4,20.001943388,0.26991029,0.258655126,0.142857143,0
2.83692E-4,20.255810991,0.273212718,0.255659121,0.155844156,0
2.87141E-4,20.513053468,0.276027046,0.252663116,0.162337662,0
2.91198E-4,20.773583422,0.279323452,0.249667111,0.162337662,0
2.97552E-4,21.00924137,0.284455696,0.247003995,0.162337662,0
3.03034E-4,21.279837641,0.288854738,0.244007989,0.168831169,0
3.04782E-4,21.523107549,0.290252001,0.241344874,0.168831169,0
3.08897E-4,21.769225514,0.293529895,0.238681758,0.175324675,0
3.15251E-4,22.020083546,0.298561091,0.236018642,0.175324675,0
3.18188E-4,22.27367311,0.300875048,0.233355526,0.175324675,0
3.20895E-4,22.529559314,0.303000597,0.23069241,0.188311688,0
3.27494E-4,22.757879535,0.308155437,0.228362184,0.188311688,0
3.3639E-4,23.023204236,0.315043694,0.225699068,0.194805195,0
3.39203E-4,23.259733362,0.317207814,0.223368842,0.201298701,0
3.41682E-4,23.532137985,0.319109574,0.220705726,0.201298701,0
3.49222E-4,23.774380813,0.324860053,0.218375499,0.207792208,0
3.56492E-4,24.021846745,0.330358583,0.216045273,0.207792208,0
3.59363E-4,24.272594628,0.332517671,0.213715047,0.214285714,0
3.63091E-4,24.525067408,0.335311132,0.21138482,0.214285714,0
3.66481E-4,24.780788637,0.337840552,0.209054594,0.214285714,0
3.6891E-4,25.001399762,0.339647947,0.207057257,0.220779221,0
3.76905E-4,25.263174734,0.345560145,0.204727031,0.220779221,0
3.82982E-4,25.52944029,0.350018533,0.202396804,0.227272727,0
3.90139E-4,25.761902827,0.355230406,0.200399467,0.233766234,0
