Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.40621E-7,0.000014062,0.000617424,1,0,0
1.54451E-7,0.000029507,0.000678125,0.999882822,0,0
1.67147E-7,0.000062558,0.000733847,0.999648465,0,0
1.84646E-7,0.000115193,0.000810646,0.99929693,0,0
2.38936E-7,0.0002658,0.00104887,0.998476682,0,0
2.8293E-7,0.000505236,0.001241872,0.997422076,0,0
3.70973E-7,0.001037082,0.001628005,0.995547223,0,0
5.65303E-7,0.002549996,0.002479759,0.991914694,0,0
7.51249E-7,0.005033221,0.003294086,0.987579095,0,0
9.61292E-7,0.010075211,0.004213145,0.980665573,0,0
1.65805E-6,0.025015779,0.007255787,0.967190063,0,0
2.59751E-6,0.050006844,0.011343566,0.953363019,0,0
4.23633E-6,0.100337094,0.018434163,0.936020623,0,0
7.03725E-6,0.200470818,0.030435195,0.914811343,0,0
9.09776E-6,0.300794475,0.039170055,0.900281228,0,0
1.09026E-5,0.400761499,0.046756512,0.888563393,0,0
1.22448E-5,0.501169828,0.052359229,0.878368877,0,0
1.30914E-5,0.601086388,0.055876423,0.869111788,0,0
1.41803E-5,0.700883581,0.060380756,0.860557769,0.004608295,0
1.4632E-5,0.751245841,0.062243261,0.856456527,0.004608295,0
1.50333E-5,0.800174568,0.063894385,0.852589641,0.004608295,0
1.60095E-5,0.900862697,0.067899415,0.844973049,0.004608295,0
1.68173E-5,1.001100132,0.071200667,0.83782517,0.004608295,0
1.74329E-5,1.100720086,0.073708332,0.831028826,0.004608295,0
1.83884E-5,1.200810022,0.077587469,0.824466839,0.00921659,0
1.91658E-5,1.300566221,0.08073186,0.818256386,0.00921659,0
1.99833E-5,1.400357525,0.084026213,0.812280291,0.013824885,0
2.09657E-5,1.500632879,0.087970099,0.806538552,0.013824885,0
2.27017E-5,1.751874651,0.094897468,0.793063042,0.013824885,0
2.48247E-5,2.001165817,0.103297695,0.780759316,0.01843318,0
2.66513E-5,2.251668958,0.110462877,0.769393016,0.01843318,0
2.86082E-5,2.500267788,0.118075333,0.758846965,0.023041475,0
3.06189E-5,2.751756395,0.125829665,0.748886806,0.023041475,0
3.22035E-5,3.003008023,0.131892247,0.739512538,0.023041475,0
3.41964E-5,3.252451469,0.13945745,0.730724162,0.023041475,0
3.57912E-5,3.501346645,0.145464077,0.7224045,0.023041475,0
3.73555E-5,3.750647947,0.151315071,0.714436372,0.023041475,0
3.88442E-5,4.002078797,0.156846148,0.706702601,0.023041475,0
4.03899E-5,4.251790494,0.162550626,0.699320366,0.023041475,0
4.16102E-5,4.501544229,0.167027077,0.692172487,0.02764977,0
4.31091E-5,4.751580627,0.17249287,0.685258964,0.02764977,0
4.42765E-5,5.000422378,0.176724962,0.678579798,0.02764977,0
4.55716E-5,5.251957482,0.181394521,0.672017811,0.02764977,0
4.67854E-5,5.501576631,0.185746844,0.66569018,0.02764977,0
4.82254E-5,5.753430653,0.190880213,0.659479728,0.02764977,0
4.92133E-5,6.00188708,0.194383597,0.653503633,0.02764977,0
5.04518E-5,6.251347832,0.198753842,0.647644715,0.032258065,0
5.15335E-5,6.501428853,0.202551293,0.641902976,0.032258065,0
5.25358E-5,6.750930232,0.20605397,0.636278416,0.032258065,0
5.35178E-5,7.000289634,0.209471191,0.630771034,0.036866359,0
5.43981E-5,7.253719481,0.212521469,0.625263651,0.036866359,0
5.53601E-5,7.50054143,0.215841834,0.619990626,0.041474654,0
5.62639E-5,7.751673704,0.218948505,0.6147176,0.041474654,0
5.70659E-5,8.001133049,0.2216946,0.609561753,0.041474654,0
5.79952E-5,8.254624436,0.224864846,0.604405906,0.041474654,0
5.87851E-5,8.505782706,0.227549361,0.599367237,0.041474654,0
5.9789E-5,8.754860656,0.230947785,0.594445746,0.041474654,0
6.08712E-5,9.002262599,0.234594659,0.589641434,0.046082949,0
6.17569E-5,9.25355093,0.237566096,0.584837122,0.046082949,0
6.26352E-5,9.502346465,0.240501582,0.580149988,0.046082949,0
6.33625E-5,9.754308389,0.242923798,0.575462854,0.050691244,0
6.41181E-5,10.002925835,0.245432264,0.570892899,0.055299539,0
6.46985E-5,10.254106203,0.247353119,0.566322944,0.059907834,0
6.54725E-5,10.501394053,0.249907609,0.561870166,0.059907834,0
6.61744E-5,10.751621531,0.252216372,0.557417389,0.059907834,0
6.6792E-5,11.004043036,0.254242037,0.552964612,0.059907834,0
6.7743E-5,11.25269278,0.25735035,0.548629013,0.069124424,0
6.84301E-5,11.504483927,0.259587967,0.544293415,0.069124424,0
6.88051E-5,11.751422138,0.260806405,0.540074994,0.073732719,0
6.93586E-5,12.000161163,0.262601379,0.535856574,0.078341014,0
7.00627E-5,12.251326951,0.264878218,0.531638153,0.082949309,0
7.06874E-5,12.504789871,0.26689227,0.527419733,0.082949309,0
7.13286E-5,12.753187969,0.268954152,0.523318491,0.082949309,0
7.19352E-5,13.004024966,0.270899132,0.519217249,0.082949309,0
7.26133E-5,13.257063379,0.273067402,0.515116007,0.082949309,0
7.32432E-5,13.505007644,0.275075539,0.511131943,0.082949309,0
7.38347E-5,13.754927786,0.276956502,0.507147879,0.087557604,0
7.46206E-5,14.000024256,0.279447789,0.503280994,0.087557604,0
7.53166E-5,14.254927888,0.281647138,0.49929693,0.092165899,0
7.58285E-5,14.504377582,0.283260394,0.495430045,0.092165899,0
7.64139E-5,14.755448626,0.285100984,0.491563159,0.096774194,0
7.71094E-5,15.001162406,0.287281319,0.487813452,0.101382488,0
7.77411E-5,15.256823986,0.289256107,0.483946567,0.110599078,0
7.82798E-5,15.506378757,0.290935546,0.48019686,0.110599078,0
7.87146E-5,15.757603596,0.292288488,0.476447153,0.115207373,0
7.93605E-5,16.002783942,0.294293108,0.472814624,0.119815668,0
8.00522E-5,16.258003143,0.29643396,0.469064917,0.119815668,0
8.05335E-5,16.507011035,0.297919691,0.465432388,0.119815668,0
8.10437E-5,16.757436903,0.299491191,0.461799859,0.129032258,0
8.15888E-5,17.001469304,0.301166325,0.458284509,0.129032258,0
8.22441E-5,17.25553262,0.303174487,0.45465198,0.138248848,0
8.29759E-5,17.503401373,0.305410721,0.45113663,0.138248848,0
8.35534E-5,17.75305066,0.307170204,0.44762128,0.142857143,0
8.40767E-5,18.004575286,0.308760806,0.444105929,0.142857143,0
8.46411E-5,18.257654407,0.310472062,0.440590579,0.142857143,0
8.50759E-5,18.503727027,0.311787777,0.437192407,0.147465438,0
8.57832E-5,18.751503266,0.313922134,0.433794235,0.147465438,0
8.6525E-5,19.001020987,0.316153898,0.430396063,0.152073733,0
8.70469E-5,19.252770097,0.31771974,0.426997891,0.156682028,0
8.76638E-5,19.506015511,0.31956573,0.423599719,0.156682028,0
8.81996E-5,19.752216844,0.321165108,0.420318725,0.156682028,0
8.8853E-5,20.000203316,0.323110317,0.417037731,0.156682028,0
8.95899E-5,20.258934792,0.325297513,0.413639559,0.161290323,0
9.01415E-5,20.501578367,0.326930323,0.410475744,0.161290323,0
9.06449E-5,20.754736669,0.328416685,0.40719475,0.161290323,0
9.11466E-5,21.000169344,0.329894868,0.404030935,0.161290323,0
9.17453E-5,21.256116411,0.331654515,0.400749941,0.161290323,0
9.21347E-5,21.504474842,0.332796814,0.397586126,0.165898618,0
9.2643E-5,21.754007162,0.334284568,0.394422311,0.170506912,0
9.31519E-5,22.004813972,0.335770754,0.391258495,0.170506912,0
9.35941E-5,22.256954047,0.337059582,0.38809468,0.175115207,0
9.40346E-5,22.500900846,0.338340875,0.385048043,0.175115207,0
9.45671E-5,22.755524557,0.339886623,0.381884228,0.179723502,0
9.52401E-5,23.002324624,0.34183489,0.378837591,0.184331797,0
9.56799E-5,23.250634267,0.343104974,0.375790954,0.184331797,0
9.62642E-5,23.500297323,0.34478854,0.372744317,0.188940092,0
9.67117E-5,23.751150108,0.346075127,0.36969768,0.188940092,0
9.71442E-5,24.003043549,0.347316315,0.366651043,0.188940092,0
9.78097E-5,24.256510155,0.349221023,0.363604406,0.188940092,0
9.84317E-5,24.501748271,0.350996651,0.360674947,0.188940092,0
9.91183E-5,24.758620189,0.352950731,0.35762831,0.193548387,0
9.97421E-5,25.0072521,0.354720966,0.354698852,0.193548387,0
1.00274E-4,25.257373461,0.356227835,0.351769393,0.202764977,0
1.00853E-4,25.508965884,0.357863088,0.348839934,0.202764977,0
1.01146E-4,25.751415702,0.358687382,0.346027654,0.202764977,0
1.01764E-4,26.005096194,0.360425879,0.343098195,0.202764977,0
1.02258E-4,26.260152198,0.361811818,0.340168737,0.202764977,0
1.02797E-4,26.506144865,0.363320078,0.337356457,0.202764977,0
