Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.26135E-3,0.126135318,0.122671097,1,0,0
1.28426E-3,0.254561211,0.124753694,0.992857143,0,0
1.32358E-3,0.386919216,0.128317261,0.985714286,0,0
1.43911E-3,0.530830109,0.138703615,0.978571429,0,0
1.46175E-3,0.677005581,0.140724979,0.971428571,0,0
1.5414E-3,0.831145481,0.147796422,0.964285714,0,0
1.55599E-3,0.986744009,0.149085186,0.957142857,0,0
1.8124E-3,1.167984099,0.171425057,0.95,0,0
1.81845E-3,1.349829101,0.171944936,0.942857143,0,0
1.97361E-3,1.547190333,0.185169114,0.935714286,0,0
2.13761E-3,1.760951701,0.198917115,0.928571429,0,0
2.20692E-3,2.196418183,0.204657277,0.914285714,0,0
2.23529E-3,2.419947462,0.206994945,0.907142857,0,0
2.27403E-3,2.647350154,0.210175566,0.9,0,0
2.28906E-3,2.87625646,0.211406805,0.892857143,0,0
2.29018E-3,3.105274508,0.211498229,0.885714286,0,0
2.32111E-3,3.337385264,0.21402438,0.878571429,0,0
2.37339E-3,3.57472428,0.218276479,0.871428571,0,0
2.42096E-3,3.816820238,0.222125267,0.864285714,0,0
2.45919E-3,4.062738899,0.225204438,0.857142857,0,0
2.47425E-3,4.310164354,0.226414802,0.85,0,0
2.49074E-3,4.559238025,0.227736601,0.842857143,0,0
2.55058E-3,4.814295981,0.232516784,0.835714286,0,0
2.60453E-3,5.074749006,0.236800941,0.828571429,0,0
2.62248E-3,5.336997132,0.238221099,0.821428571,0,0
2.64102E-3,5.601099012,0.239684886,0.814285714,0,0
2.73478E-3,5.874576528,0.24704523,0.807142857,0,0
2.77511E-3,6.152087374,0.250189637,0.8,0,0
2.79942E-3,6.432029403,0.252078654,0.792857143,0,0
2.81497E-3,6.713526018,0.253284065,0.785714286,0,0
2.8312E-3,6.996645698,0.254540499,0.778571429,0,0
2.95372E-3,7.292018051,0.263957479,0.771428571,0,0
3.02645E-3,7.594663278,0.269490801,0.764285714,0,0
3.21352E-3,7.916015323,0.283532903,0.757142857,0,0
3.26419E-3,8.242433877,0.28728936,0.75,0,0
3.26438E-3,8.568871707,0.287303614,0.742857143,0,0
3.31571E-3,8.900442533,0.291089208,0.735714286,0,0
3.35979E-3,9.236421283,0.294324007,0.728571429,0,0
3.40388E-3,9.576809744,0.297545348,0.721428571,0,0
3.45677E-3,9.922486334,0.301388999,0.714285714,0,0
3.49912E-3,10.272398522,0.304452447,0.707142857,0,0
3.52212E-3,10.624610726,0.306110331,0.7,0,0
3.56144E-3,10.980754372,0.308935024,0.692857143,0,0
3.56859E-3,11.337613595,0.309447919,0.685714286,0,0
3.66431E-3,11.704044812,0.316272224,0.678571429,0,0
3.66837E-3,12.070881374,0.31655972,0.671428571,0,0
3.67192E-3,12.438073495,0.316811805,0.664285714,0,0
3.71456E-3,12.809529371,0.319827495,0.657142857,0,0
3.80528E-3,13.190057695,0.326200079,0.65,0,0
3.83074E-3,13.573131435,0.327977256,0.642857143,0,0
3.86137E-3,13.95926857,0.330109866,0.635714286,0,0
3.91392E-3,14.350660108,0.333752018,0.628571429,0,0
4.08594E-3,14.759254404,0.345538341,0.621428571,0,0
4.15117E-3,15.174371861,0.349952905,0.614285714,0,0
4.16503E-3,15.590874385,0.350886413,0.607142857,0,0
4.17764E-3,16.008638316,0.35173541,0.6,0,0
4.1932E-3,16.427957959,0.352780962,0.592857143,0,0
4.20239E-3,16.848196624,0.353397819,0.585714286,0,0
4.2696E-3,17.275156272,0.357891177,0.578571429,0,0
4.2699E-3,17.702146086,0.357911274,0.571428571,0,0
4.29009E-3,18.131155113,0.35925508,0.564285714,0,0
