Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.17807E-5,0.002178074,0.008838719,1,0,0
3.06695E-5,0.005245027,0.012423345,0.998663102,0,0
3.70603E-5,0.012584437,0.014992568,0.995989305,0,0
4.21029E-5,0.025001117,0.017015084,0.99197861,0,0
5.36964E-5,0.053475172,0.021649306,0.983957219,0,0
6.95622E-5,0.103175006,0.027955915,0.973262032,0,0
9.18357E-5,0.208949986,0.036741052,0.955882353,0,0
1.04519E-4,0.307874101,0.041708014,0.942513369,0,0
1.12436E-4,0.405584328,0.044795356,0.930481283,0,0
1.20386E-4,0.510946598,0.047886023,0.918449198,0,0
1.30427E-4,0.610171545,0.051774737,0.907754011,0,0
1.51063E-4,0.711675981,0.059717248,0.898395722,0,0
1.57173E-4,0.75808518,0.062056094,0.894385027,0,0
1.62517E-4,0.806316443,0.064096972,0.890374332,0,0
1.70631E-4,0.906546217,0.06718695,0.882352941,0,0
1.81826E-4,1.013920539,0.071433925,0.874331551,0,0
1.90986E-4,1.107890854,0.074894455,0.867647059,0,0
1.96542E-4,1.204836752,0.076987342,0.860962567,0,0
2.07943E-4,1.307930662,0.081266715,0.854278075,0,0
2.20644E-4,1.4149249,0.086010738,0.847593583,0,0
2.28479E-4,1.50483693,0.088925031,0.842245989,0,0
2.46392E-4,1.765431379,0.095552865,0.827540107,0,0
2.61853E-4,2.019706027,0.10123492,0.814171123,0,0
2.72563E-4,2.260446454,0.105149823,0.802139037,0,0
2.95367E-4,2.518298619,0.11342907,0.790106952,0,0
3.0156E-4,2.757640891,0.115664301,0.779411765,0,0
3.1547E-4,3.005159075,0.120663909,0.768716578,0,0
3.28196E-4,3.26383365,0.125213589,0.75802139,0,0
3.44038E-4,3.532366512,0.130844055,0.747326203,0,0
3.6098E-4,3.778599273,0.136825513,0.737967914,0,0
3.71524E-4,4.000430912,0.140527536,0.729946524,0,0
3.77553E-4,4.262723473,0.142636763,0.720588235,0,0
3.89896E-4,4.53237961,0.146939685,0.711229947,0,0
3.98383E-4,4.769776443,0.149885514,0.703208556,0,0
4.02526E-4,5.009794319,0.151319991,0.695187166,0,0
4.11765E-4,5.255772525,0.154509782,0.687165775,0,0
4.19249E-4,5.504524677,0.157085265,0.679144385,0,0
4.30628E-4,5.760762557,0.16098559,0.671122995,0,0
4.53266E-4,6.0253296,0.168692009,0.663101604,0,0
4.60795E-4,6.254072349,0.171239237,0.656417112,0,0
4.74493E-4,6.534082987,0.175853782,0.648395722,0,0
4.78597E-4,6.772712503,0.177231406,0.64171123,0,0
4.95757E-4,7.017028053,0.182966084,0.635026738,0,0
5.0261E-4,7.266909607,0.185245212,0.628342246,0,0
5.16603E-4,7.522148105,0.189879087,0.621657754,0,0
5.29234E-4,7.784800207,0.194039106,0.614973262,0,0
5.33493E-4,8.050912937,0.195437162,0.60828877,0,0
5.35205E-4,8.264726813,0.195998456,0.602941176,0,0
5.45658E-4,8.53674261,0.199416647,0.596256684,0,0
5.52726E-4,8.757121287,0.20171995,0.590909091,0,0
5.64541E-4,9.036572889,0.205555207,0.584224599,0,0
5.86323E-4,9.268421138,0.21257726,0.578877005,0,0
5.91731E-4,9.504633232,0.21431118,0.573529412,0,0
5.96729E-4,9.801590825,0.215910168,0.56684492,0,0
6.0349E-4,10.041674399,0.2180681,0.561497326,0,0
6.0775E-4,10.284094481,0.219424521,0.556149733,0,0
6.18447E-4,10.530243997,0.222820743,0.550802139,0,0
6.33331E-4,10.781356961,0.227521325,0.545454545,0,0
6.45595E-4,11.037878687,0.231373241,0.540106952,0,0
6.54503E-4,11.299072061,0.234159287,0.534759358,0,0
6.55887E-4,11.561288064,0.23459107,0.529411765,0,0
6.62127E-4,11.75940399,0.236535448,0.52540107,0,0
6.72141E-4,12.026926778,0.239645418,0.520053476,0,0
6.88908E-4,12.300804807,0.244824131,0.514705882,0,0
6.92844E-4,12.50831594,0.246034642,0.510695187,0,0
6.98222E-4,12.78701236,0.247685776,0.505347594,0,0
7.02899E-4,13.067342571,0.249118479,0.5,0,0
7.08563E-4,13.279310339,0.25085016,0.495989305,0,0
7.21101E-4,13.565555381,0.254668852,0.490641711,0,0
7.31972E-4,13.784268007,0.257964377,0.486631016,0,0
7.41194E-4,14.005824486,0.260748476,0.482620321,0,0
7.53597E-4,14.305041467,0.264476258,0.477272727,0,0
7.58014E-4,14.531986503,0.265799422,0.473262032,0,0
7.61242E-4,14.760085674,0.266764735,0.469251337,0,0
7.71101E-4,15.067385926,0.269705426,0.463903743,0,0
7.77018E-4,15.299816557,0.271464479,0.459893048,0,0
7.94048E-4,15.535192839,0.276504308,0.455882353,0,0
8.02832E-4,15.775364299,0.279089967,0.451871658,0,0
8.08649E-4,16.017244028,0.280797237,0.447860963,0,0
8.21379E-4,16.261730087,0.284519568,0.443850267,0,0
8.27941E-4,16.509401623,0.286430705,0.439839572,0,0
8.37832E-4,16.760053587,0.289301841,0.435828877,0,0
8.51162E-4,17.013220599,0.293152768,0.431818182,0,0
8.53285E-4,17.269081432,0.293764319,0.427807487,0,0
8.55196E-4,17.525492769,0.294314025,0.423796791,0,0
8.78192E-4,17.786658353,0.300897737,0.419786096,0,0
8.79651E-4,18.050392434,0.301313402,0.415775401,0,0
8.80597E-4,18.314490937,0.301582991,0.411764706,0,0
8.93891E-4,18.581644988,0.305357197,0.407754011,0,0
9.03184E-4,18.762077593,0.307983478,0.405080214,0,0
9.55416E-4,19.042986845,0.322560989,0.401069519,0.083333333,0
9.8676E-4,19.337469451,0.331160826,0.397058824,0.083333333,0
9.92759E-4,19.535700365,0.332794396,0.394385027,0.083333333,0
1.00229E-3,19.835399174,0.335380304,0.390374332,0.083333333,0
1.01039E-3,20.036968318,0.337571011,0.387700535,0.083333333,0
1.03416E-3,20.345073985,0.343960254,0.38368984,0.083333333,0
1.07281E-3,20.558115155,0.354214621,0.381016043,0.083333333,0
1.07919E-3,20.773692545,0.355892037,0.378342246,0.083333333,0
1.09962E-3,21.102831901,0.361232648,0.374331551,0.083333333,0
1.11994E-3,21.326594704,0.366501741,0.371657754,0.083333333,0
1.12553E-3,21.55117264,0.36794374,0.368983957,0.083333333,0
1.1277E-3,21.776664596,0.368500911,0.36631016,0.083333333,0
1.13888E-3,22.004413374,0.371372735,0.363636364,0.083333333,0
1.16402E-3,22.3488778,0.377782289,0.359625668,0.083333333,0
1.17504E-3,22.583311441,0.380570889,0.356951872,0.083333333,0
1.18272E-3,22.819722381,0.38250625,0.354278075,0.083333333,0
1.19255E-3,23.057994752,0.384974481,0.351604278,0.083333333,0
1.19732E-3,23.297456771,0.386171521,0.348930481,0.083333333,0
1.21117E-3,23.53950083,0.389624703,0.346256684,0.083333333,0
1.21804E-3,23.782552893,0.391331479,0.343582888,0.083333333,0
1.22794E-3,24.027265487,0.39378293,0.340909091,0.083333333,0
1.23799E-3,24.273978122,0.396263313,0.338235294,0.083333333,0
1.25115E-3,24.52395492,0.399491525,0.335561497,0.083333333,0
1.27451E-3,24.778438564,0.40518188,0.332887701,0.083333333,0
1.28922E-3,25.035019986,0.408739642,0.330213904,0.083333333,0
1.30029E-3,25.294234782,0.411399951,0.327540107,0.083333333,0
1.30437E-3,25.554818743,0.412378028,0.32486631,0.083333333,0
1.32333E-3,25.819223329,0.416902073,0.322192513,0.083333333,0
1.32905E-3,26.084583361,0.418260192,0.319518717,0.083333333,0
1.33801E-3,26.352127462,0.420380512,0.31684492,0.083333333,0
1.35083E-3,26.621177099,0.423401206,0.314171123,0.083333333,0
1.35326E-3,26.756502979,0.423972381,0.312834225,0.083333333,0
1.35822E-3,27.027680218,0.425136064,0.310160428,0.083333333,0
1.36926E-3,27.30103641,0.427715976,0.307486631,0.083333333,0
1.37933E-3,27.576791615,0.430060321,0.304812834,0.083333333,0
1.4035E-3,27.856304452,0.435648614,0.302139037,0.083333333,0
1.42032E-3,28.139878831,0.439503844,0.299465241,0.083333333,0
1.42033E-3,28.281911849,0.439507004,0.298128342,0.083333333,0
1.42815E-3,28.566945287,0.441289607,0.295454545,0.083333333,0
1.44086E-3,28.854995986,0.444178337,0.292780749,0.083333333,0
1.45219E-3,29.144456504,0.446739705,0.290106952,0.083333333,0
1.4529E-3,29.28974656,0.44689891,0.288770053,0.083333333,0
1.47085E-3,29.582171344,0.450930867,0.286096257,0.083333333,0
1.48712E-3,29.878934292,0.454560712,0.28342246,0.083333333,0
1.50755E-3,30.029689375,0.459083523,0.282085561,0.083333333,0
1.50931E-3,30.331472918,0.459471354,0.279411765,0.083333333,0
1.53385E-3,30.637030881,0.464851233,0.276737968,0.083333333,0
1.537E-3,30.790730818,0.465537587,0.27540107,0.083333333,0
1.55716E-3,31.102063626,0.469911327,0.272727273,0.083333333,0
1.56618E-3,31.258681195,0.471856042,0.271390374,0.083333333,0
1.57581E-3,31.572925309,0.473925927,0.268716578,0.083333333,0
1.58351E-3,31.889373356,0.475574232,0.266042781,0.083333333,0
1.5884E-3,32.048213756,0.476619651,0.264705882,0.083333333,0
1.59949E-3,32.367804488,0.4789795,0.262032086,0.083333333,0
1.6049E-3,32.528294984,0.480128057,0.260695187,0.083333333,0
1.6053E-3,32.849340402,0.480212288,0.25802139,0.083333333,0
1.6066E-3,33.010000615,0.480487572,0.256684492,0.083333333,0
1.62151E-3,33.333218753,0.483635877,0.254010695,0.083333333,0
1.64363E-3,33.659782711,0.488269687,0.251336898,0.083333333,0
1.64428E-3,33.824211108,0.48840602,0.25,0.083333333,0
1.65723E-3,34.155311714,0.491097715,0.247326203,0.083333333,0
1.6678E-3,34.322092062,0.493287112,0.245989305,0.083333333,0
1.67469E-3,34.656778188,0.494707371,0.243315508,0.166666667,0
1.68328E-3,34.825106099,0.496473394,0.24197861,0.166666667,0
1.69914E-3,35.163503841,0.499717274,0.239304813,0.166666667,0
1.7093E-3,35.334433389,0.501784825,0.237967914,0.166666667,0
1.71313E-3,35.505746661,0.50256347,0.236631016,0.166666667,0
1.73598E-3,35.852730971,0.507173918,0.233957219,0.166666667,0
1.74288E-3,36.027019309,0.508559266,0.232620321,0.166666667,0
1.77152E-3,36.379212706,0.514262248,0.229946524,0.166666667,0
1.78642E-3,36.55785462,0.517203225,0.228609626,0.166666667,0
1.79726E-3,36.916525794,0.519332127,0.225935829,0.166666667,0
1.8115E-3,37.09767613,0.52211445,0.22459893,0.166666667,0
1.81313E-3,37.278989107,0.522431153,0.223262032,0.166666667,0
1.83171E-3,37.643956282,0.526033679,0.220588235,0.166666667,0
1.84536E-3,37.828491936,0.528663427,0.219251337,0.166666667,0
1.84625E-3,38.013116487,0.528834186,0.217914439,0.166666667,0
1.85405E-3,38.383243529,0.530330284,0.215240642,0.166666667,0
1.8696E-3,38.570203972,0.533299006,0.213903743,0.166666667,0
1.88196E-3,38.758399777,0.535643141,0.212566845,0.166666667,0
1.90393E-3,39.138955889,0.539782876,0.209893048,0.166666667,0
1.90421E-3,39.32937687,0.539835819,0.20855615,0.166666667,0
1.90592E-3,39.519969368,0.540157414,0.207219251,0.166666667,0
1.92298E-3,39.904324087,0.543342453,0.204545455,0.25,0
1.9312E-3,40.097443602,0.544869637,0.203208556,0.25,0
1.9336E-3,40.290803135,0.545314689,0.201871658,0.25,0
1.94218E-3,40.67880696,0.546902603,0.199197861,0.25,0
1.94336E-3,40.873143439,0.547121698,0.197860963,0.25,0
1.95145E-3,41.06828886,0.54861252,0.196524064,0.25,0
1.95152E-3,41.263440801,0.548624517,0.195187166,0.25,0
1.96672E-3,41.65612883,0.551411921,0.192513369,0.25,0
1.96755E-3,41.852884108,0.551564787,0.191176471,0.25,0
1.97064E-3,42.049948489,0.55212943,0.189839572,0.25,0
2.0044E-3,42.448177099,0.558249606,0.187165775,0.25,0
2.00463E-3,42.648640084,0.558291002,0.185828877,0.25,0
