Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.40942E-7,0.000034094,0.000288502,1,0,0
3.42261E-7,0.00006832,0.000289618,0.999414177,0,0
4.58958E-7,0.000114216,0.000388347,0.998828354,0,0
5.90886E-7,0.000280129,0.00049995,0.997070885,0,0
7.91851E-7,0.000507052,0.000669929,0.995313415,0,0
1.69819E-6,0.001125773,0.00143617,0.9923843,0,0
2.34638E-6,0.002607457,0.001983799,0.988283538,0,0
2.94447E-6,0.005046121,0.002488844,0.983011131,0,0
3.68501E-6,0.010364955,0.003113809,0.973637961,0,0
6.37849E-6,0.025140641,0.005383651,0.956063269,0,0
8.27572E-6,0.050148887,0.006979378,0.936145284,0,0
1.18247E-5,0.100923248,0.009957453,0.90685413,0,0
1.87356E-5,0.201484942,0.015731161,0.867603984,0,0
2.5613E-5,0.301855246,0.021443383,0.840656122,0,0
3.0847E-5,0.400447468,0.025768388,0.820152314,0,0
3.35533E-5,0.500907723,0.02799719,0.801991798,0,0
3.79819E-5,0.60369867,0.031633409,0.785002929,0.006711409,0
4.46366E-5,0.702617604,0.037071844,0.770943175,0.006711409,0
4.78548E-5,0.753775443,0.039690913,0.764499121,0.006711409,0
4.96833E-5,0.802635326,0.041175903,0.75864089,0.006711409,0
5.66886E-5,0.903371531,0.046843584,0.747510252,0.006711409,0
6.09083E-5,1.004874806,0.050241456,0.73755126,0.006711409,0
6.32903E-5,1.10397568,0.052154111,0.72817809,0.006711409,0
6.74126E-5,1.202134751,0.055455197,0.719390744,0.013422819,0
7.1678E-5,1.306998285,0.058858669,0.710603398,0.013422819,0
7.49082E-5,1.402794693,0.061428065,0.702987698,0.013422819,0
7.72519E-5,1.501878997,0.063287827,0.695371998,0.013422819,0
8.44155E-5,1.751882895,0.068949657,0.677211482,0.020134228,0
9.23402E-5,2.002451257,0.075173092,0.660808436,0.020134228,0
9.99258E-5,2.253378175,0.081091296,0.645577036,0.020134228,0
1.09946E-4,2.506530226,0.088851096,0.631517282,0.020134228,0
1.22502E-4,2.760013814,0.098482018,0.618629174,0.020134228,0
1.31072E-4,3.01288661,0.104996938,0.606912712,0.020134228,0
1.38997E-4,3.25638117,0.11097962,0.596367897,0.020134228,0
1.49267E-4,3.503299195,0.118673331,0.586408905,0.020134228,0
1.54441E-4,3.761072664,0.122523561,0.576449912,0.020134228,0
1.60102E-4,4.013335312,0.126717623,0.567076743,0.026845638,0
1.67027E-4,4.258109135,0.13182039,0.558289397,0.026845638,0
1.76264E-4,4.516489867,0.138580926,0.54950205,0.026845638,0
1.8134E-4,4.766849018,0.142273872,0.541300527,0.026845638,0
1.87017E-4,5.005185037,0.146384893,0.533684827,0.026845638,0
1.93468E-4,5.252787157,0.151032867,0.526069127,0.026845638,0
2.05031E-4,5.511548857,0.159299962,0.518453427,0.026845638,0
2.11179E-4,5.7620428,0.163662954,0.51142355,0.026845638,0
2.22145E-4,6.001354378,0.171388934,0.504979496,0.026845638,0
2.33065E-4,6.252517059,0.17901106,0.498535442,0.033557047,0
2.47232E-4,6.51745898,0.188795599,0.492091388,0.040268456,0
2.5126E-4,6.767236626,0.191556287,0.486233158,0.046979866,0
2.56907E-4,7.02248156,0.195411063,0.480374927,0.046979866,0
2.62956E-4,7.256293987,0.19951936,0.475102519,0.046979866,0
2.72383E-4,7.524604135,0.205880314,0.469244288,0.046979866,0
2.79996E-4,7.77366162,0.210980451,0.46397188,0.053691275,0
2.88247E-4,8.001146187,0.216470789,0.459285296,0.053691275,0
2.96985E-4,8.264100124,0.222243762,0.454012888,0.053691275,0
3.0848E-4,8.505842475,0.229773627,0.449326303,0.053691275,0
3.15317E-4,8.755720122,0.234217163,0.444639719,0.053691275,0
3.26065E-4,9.012607658,0.241151277,0.439953134,0.053691275,0
3.37475E-4,9.279352394,0.248443663,0.43526655,0.053691275,0
3.42592E-4,9.51782866,0.251691669,0.431165788,0.053691275,0
3.46135E-4,9.759113002,0.253931624,0.427065026,0.053691275,0
3.5513E-4,10.004414811,0.259590096,0.422964265,0.053691275,0
3.67514E-4,10.258061251,0.267309529,0.418863503,0.060402685,0
3.75892E-4,10.517718393,0.272486266,0.414762742,0.060402685,0
3.89168E-4,10.786889118,0.280614622,0.41066198,0.060402685,0
3.95385E-4,11.022365298,0.28438949,0.407147042,0.060402685,0
4.06486E-4,11.263769348,0.291081236,0.403632103,0.067114094,0
4.12904E-4,11.509539026,0.294921019,0.400117165,0.067114094,0
4.19253E-4,11.75980056,0.298699565,0.396602226,0.073825503,0
4.25284E-4,12.012974675,0.302270361,0.393087288,0.073825503,0
