species_name,x,y
Heuchera alba,-78.019951,40.430216
Heuchera alba,-79.532465,38.700283
Heuchera alba,-79.53167,38.701513
Heuchera alba,-77.92513,39.612211
Heuchera alba,-78.327703,40.023618
Heuchera alba,-79.202999,39.997763
Heuchera alba,-79.825059,38.545671
Heuchera alba,-79.532689,38.701619
Heuchera alba,-79.310363,38.957854
Heuchera alba,-78.38956,40.11857
Heuchera alba,-78.71699,39.681768
Heuchera alba,-78.516128,39.88338
Heuchera alba,-77.98523611,40.44461944
Heuchera alba,-77.189863,40.221853
Heuchera alba,-79.062956,38.753084
Heuchera alba,-79.154783,38.698115
Heuchera alba,-78.340242,39.73204
Heuchera alba,-78.35834,39.666531
Heuchera alba,-78.362603,39.659608
Heuchera alba,-79.420319,38.778538
Heuchera alba,-78.138449,40.382206
Heuchera alba,-79.532178,38.700444
Heuchera alba,-78.423797,38.519183
Heuchera alba,-77.831864,39.71981
Heuchera alba,-78.421088,39.720832
Heuchera alba,-79.514305,38.77643
Heuchera alba,-76.80352,40.883549
Heuchera alba,-78.339391,39.652445
Heuchera alba,-79.53218,38.700767
Heuchera alba,-79.53283,38.699825
Heuchera alba,-77.91538,40.392806
Heuchera alba,-79.496682,38.424038
Heuchera alba,-78.462972,39.639365
Heuchera alba,-79.502408,38.725113
Heuchera alba,-79.091095,38.755378
Heuchera alba,-78.344759,39.733548
Heuchera alba,-78.340151,39.653199
Heuchera alba,-79.094203,38.751091
Heuchera alba,-79.36428,38.838812
Heuchera alba,-79.231702,39.364982
Heuchera alba,-79.534149,38.69998
Heuchera alba,-79.540005,38.641924
