Predictor variable,Categorical,Sample average
alt,false,2214.0
alt,false,2214.0
bio1,false,64.0
bio1,false,64.0
bio10,false,152.375
bio10,false,152.375
bio11,false,-14.375
bio11,false,-14.375
bio12,false,352.125
bio12,false,352.125
bio13,false,53.0
bio13,false,53.0
bio14,false,13.0
bio14,false,13.0
bio15,false,43.625
bio15,false,43.625
bio16,false,143.0
bio16,false,143.0
bio17,false,46.375
bio17,false,46.375
bio18,false,48.25
bio18,false,48.25
bio19,false,141.0
bio19,false,141.0
bio2,false,149.875
bio2,false,149.875
bio3,false,43.5
bio3,false,43.5
bio4,false,6618.875
bio4,false,6618.875
bio5,false,255.75
bio5,false,255.75
bio6,false,-84.375
bio6,false,-84.375
bio7,false,340.125
bio7,false,340.125
bio8,false,-11.625
bio8,false,-11.625
bio9,false,123.25
bio9,false,123.25
mask,true,50.0
