species_name,x,y
Heuchera longipetala orizabensis,-104.26,23.423056
Heuchera longipetala orizabensis,-98.21206,19.66947
Heuchera longipetala orizabensis,-102.637347,21.777183
Heuchera longipetala orizabensis,-99.188056,21.260694
Heuchera longipetala orizabensis,-97.188333,19.146667
Heuchera longipetala orizabensis,-97.23,19.022222
Heuchera longipetala orizabensis,-99.6252777,21.1341666
Heuchera longipetala orizabensis,-102.25871614488663,19.411762654567436
Heuchera longipetala orizabensis,-104.308333,23.458333
Heuchera longipetala orizabensis,-101.405278,19.551944
Heuchera longipetala orizabensis,-97.208889,19.538056
Heuchera longipetala orizabensis,-98.74725277183664,19.20594611334025
Heuchera longipetala orizabensis,-99.436667,20.82
Heuchera longipetala orizabensis,-100.2458333,19.3636111
Heuchera longipetala orizabensis,-106.8422222,23.1644444
Heuchera longipetala orizabensis,-102.749444,21.566111
Heuchera longipetala orizabensis,-98.208333,19.675
Heuchera longipetala orizabensis,-99.589223,20.829274
Heuchera longipetala orizabensis,-98.7353081151885,19.20289068508967
Heuchera longipetala orizabensis,-106.842222,23.164444
Heuchera longipetala orizabensis,-97.106667,19.496667
Heuchera longipetala orizabensis,-102.6375,21.775833
Heuchera longipetala orizabensis,-105.835556,23.560833
Heuchera longipetala orizabensis,-98.4605556,20.7175
Heuchera longipetala orizabensis,-99.135694,21.432361
Heuchera longipetala orizabensis,-100.26675,19.635389
Heuchera longipetala orizabensis,-98.688611,19.116944
Heuchera longipetala orizabensis,-98.6052778,19.7336111
Heuchera longipetala orizabensis,-98.71752997420158,19.220945415246707
Heuchera longipetala orizabensis,-102.514944,22.080833
Heuchera longipetala orizabensis,-100.2697222,19.3758333
Heuchera longipetala orizabensis,-98.7364127446044,20.168235387947867
Heuchera longipetala orizabensis,-99.565,20.915
Heuchera longipetala orizabensis,-98.73620676562024,20.1682018930798
Heuchera longipetala orizabensis,-102.581528,22.173917
Heuchera longipetala orizabensis,-98.2316667,20.3188889
Heuchera longipetala orizabensis,-103.9633333,23.6769444
Heuchera longipetala orizabensis,-101.369,19.62167
Heuchera longipetala orizabensis,-99.292969,19.260808
Heuchera longipetala orizabensis,-98.7375,20.183333
Heuchera longipetala orizabensis,-99.134722,21.4325
Heuchera longipetala orizabensis,-99.0316667,20.765
Heuchera longipetala orizabensis,-98.460556,20.7175
Heuchera longipetala orizabensis,-103.963333,23.676944
Heuchera longipetala orizabensis,-97.0916667,19.5083333
Heuchera longipetala orizabensis,-104.625,23.591667
Heuchera longipetala orizabensis,-97.250555,19.752222
Heuchera longipetala orizabensis,-102.116667,19.42
Heuchera longipetala orizabensis,-99.308333,19.308333
Heuchera longipetala orizabensis,-99.6713888,21.2198888
Heuchera longipetala orizabensis,-100.15,17.466667
Heuchera longipetala orizabensis,-97.342222,19.790556
Heuchera longipetala orizabensis,-98.6886111,19.1169444
Heuchera longipetala orizabensis,-98.7323232567081,19.174801093768043
Heuchera longipetala orizabensis,-97.1697222,19.5172222
Heuchera longipetala orizabensis,-97.311111,18.845833
Heuchera longipetala orizabensis,-105.1,24.81
Heuchera longipetala orizabensis,-98.69843328680817,19.124803547798233
Heuchera longipetala orizabensis,-98.774722,19.467222
Heuchera longipetala orizabensis,-106.546667,25.123333
Heuchera longipetala orizabensis,-99.4366667,20.82
Heuchera longipetala orizabensis,-99.13475,21.432528
Heuchera longipetala orizabensis,-104.345,25.1033333
Heuchera longipetala orizabensis,-98.705,19.1080556
Heuchera longipetala orizabensis,-99.253256,19.297798
Heuchera longipetala orizabensis,-98.764444,20.753333
Heuchera longipetala orizabensis,-101.428333,19.895
Heuchera longipetala orizabensis,-102.1166667,19.42
Heuchera longipetala orizabensis,-97.073611,18.866389
Heuchera longipetala orizabensis,-98.7697222,19.4711111
Heuchera longipetala orizabensis,-100.246175,19.374917
Heuchera longipetala orizabensis,-99.625278,21.043611
Heuchera longipetala orizabensis,-100.676667,20.225
Heuchera longipetala orizabensis,-100.071667,17.449722
Heuchera longipetala orizabensis,-99.5881388,20.86
Heuchera longipetala orizabensis,-98.625,20.1
Heuchera longipetala orizabensis,-97.1558333,19.7902778
Heuchera longipetala orizabensis,-100.269722,19.375833
Heuchera longipetala orizabensis,-104.303611,23.008333
Heuchera longipetala orizabensis,-104.631667,22.96
Heuchera longipetala orizabensis,-103.556111,19.547222
Heuchera longipetala orizabensis,-98.5902778,19.1530556
Heuchera longipetala orizabensis,-101.4283333,19.895
Heuchera longipetala orizabensis,-99.2466667,18.9633333
Heuchera longipetala orizabensis,-99.012222,19.28
Heuchera longipetala orizabensis,-99.6708333,20.7922222
Heuchera longipetala orizabensis,-104.258333,23.375
Heuchera longipetala orizabensis,-99.09,20.0475
Heuchera longipetala orizabensis,-97.106667,19.496944
Heuchera longipetala orizabensis,-99.564444,20.915278
Heuchera longipetala orizabensis,-100.152222,17.476944
Heuchera longipetala orizabensis,-104.1333333,23.4366667
Heuchera longipetala orizabensis,-99.267222,19.017778
Heuchera longipetala orizabensis,-101.81965,19.820444
Heuchera longipetala orizabensis,-100.831667,19.669444
Heuchera longipetala orizabensis,-98.505,20.498333
Heuchera longipetala orizabensis,-99.5658333,21.0088889
Heuchera longipetala orizabensis,-96.9363889,19.6108333
Heuchera longipetala orizabensis,-100.269722,19.374444
Heuchera longipetala orizabensis,-98.9683333,19.3083333
Heuchera longipetala orizabensis,-105.8355556,23.5608333
Heuchera longipetala orizabensis,-102.620222,22.277194
Heuchera longipetala orizabensis,-98.7527778,19.4755556
Heuchera longipetala orizabensis,-97.13,19.65
Heuchera longipetala orizabensis,-99.0122222,19.28
Heuchera longipetala orizabensis,-99.155278,21.451667
Heuchera longipetala orizabensis,-98.69864040327815,19.12483913503918
Heuchera longipetala orizabensis,-98.705,19.108056
Heuchera longipetala orizabensis,-98.6875,19.069444
Heuchera longipetala orizabensis,-99.2697222,19.2813889
Heuchera longipetala orizabensis,-97.3422222,19.7905556
Heuchera longipetala orizabensis,-100.113056,20.185833
Heuchera longipetala orizabensis,-100.267,19.63539
Heuchera longipetala orizabensis,-99.246667,18.963333
Heuchera longipetala orizabensis,-99.221389,19.3425
Heuchera longipetala orizabensis,-100.0716667,17.4497222
Heuchera longipetala orizabensis,-98.736667,20.123333
Heuchera longipetala orizabensis,-104.625,23.5916667
Heuchera longipetala orizabensis,-102.380555,19.766111
Heuchera longipetala orizabensis,-99.2213889,19.3425
Heuchera longipetala orizabensis,-98.76697548035085,19.20261284696582
Heuchera longipetala orizabensis,-106.485,25.1386111
Heuchera longipetala orizabensis,-97.155833,19.790278
Heuchera longipetala orizabensis,-98.725,19.061667
Heuchera longipetala orizabensis,-103.6844444,20.0158333
Heuchera longipetala orizabensis,-99.5644444,20.9152778
Heuchera longipetala orizabensis,-100.6766667,20.225
Heuchera longipetala orizabensis,-100.275,19.375
Heuchera longipetala orizabensis,-98.756667,19.211667
Heuchera longipetala orizabensis,-98.7747222,19.4672222
Heuchera longipetala orizabensis,-98.73974808158451,20.202678002195807
Heuchera longipetala orizabensis,-96.5383333,17.4266667
Heuchera longipetala orizabensis,-99.6124722,18.60125
Heuchera longipetala orizabensis,-96.883333,19.05
Heuchera longipetala orizabensis,-104.6316667,22.96
Heuchera longipetala orizabensis,-97.198055,19.149167
Heuchera longipetala orizabensis,-97.60022,16.70242
Heuchera longipetala orizabensis,-100.1522222,17.4769444
Heuchera longipetala orizabensis,-98.7041667,19.6133333
Heuchera longipetala orizabensis,-104.2916667,23.4083333
Heuchera longipetala orizabensis,-104.345,25.103333
Heuchera longipetala orizabensis,-101.076389,19.655556
Heuchera longipetala orizabensis,-97.1,19.5
Heuchera longipetala orizabensis,-102.2585189558223,19.41172263153945
Heuchera longipetala orizabensis,-96.406944,19.201111
Heuchera longipetala orizabensis,-98.590278,19.153056
Heuchera longipetala orizabensis,-99.29309785268595,19.26955313227333
Heuchera longipetala orizabensis,-104.129167,23.453056
Heuchera longipetala orizabensis,-100.2465555,19.3637778
Heuchera longipetala orizabensis,-99.616667,21.133333
Heuchera longipetala orizabensis,-97.588056,19.869722
Heuchera longipetala orizabensis,-97.091667,19.508333
Heuchera longipetala orizabensis,-98.774167,20.193333
Heuchera longipetala orizabensis,-97.103611,18.849722
Heuchera longipetala orizabensis,-96.4069444,19.2011111
Heuchera longipetala orizabensis,-100.275,20.275
Heuchera longipetala orizabensis,-102.552778,22.091944
Heuchera longipetala orizabensis,-104.1291667,23.4530556
Heuchera longipetala orizabensis,-98.729167,20.180556
Heuchera longipetala orizabensis,-98.704167,19.613333
Heuchera longipetala orizabensis,-98.754722,20.751667
Heuchera longipetala orizabensis,-99.612472,18.60125
Heuchera longipetala orizabensis,-98.2083333,19.675
Heuchera longipetala orizabensis,-99.625278,21.134167
Heuchera longipetala orizabensis,-104.2791667,23.4147222
Heuchera longipetala orizabensis,-98.56,20.96
Heuchera longipetala orizabensis,-98.605278,19.733611
Heuchera longipetala orizabensis,-99.6373888,21.40002
Heuchera longipetala orizabensis,-104.108333,23.395833
Heuchera longipetala orizabensis,-104.291667,23.423611
Heuchera longipetala orizabensis,-99.172222,21.545278
Heuchera longipetala orizabensis,-99.1356944,21.4323611
Heuchera longipetala orizabensis,-98.783333,19.466667
Heuchera longipetala orizabensis,-102.350169,19.763369
Heuchera longipetala orizabensis,-98.73,20.17
Heuchera longipetala orizabensis,-100.836111,19.729722
Heuchera longipetala orizabensis,-98.23167,20.31889
Heuchera longipetala orizabensis,-98.722415528222,20.193916753657838
Heuchera longipetala orizabensis,-97.084722,19.121389
Heuchera longipetala orizabensis,-106.485,25.138611
Heuchera longipetala orizabensis,-97.169722,19.517222
Heuchera longipetala orizabensis,-98.754722,19.206944
Heuchera longipetala orizabensis,-100.245833,19.363611
Heuchera longipetala orizabensis,-99.116667,20.088333
Heuchera longipetala orizabensis,-97.5872222,19.8738889
Heuchera longipetala orizabensis,-98.73253020590508,19.174836587172067
Heuchera longipetala orizabensis,-96.553055,17.533611
Heuchera longipetala orizabensis,-98.73510141747514,19.202854767481078
Heuchera longipetala orizabensis,-99.637389,21.40002
Heuchera longipetala orizabensis,-99.7105556,19.8802778
Heuchera longipetala orizabensis,-98.553177,19.118856
Heuchera longipetala orizabensis,-103.5561111,19.5472222
Heuchera longipetala orizabensis,-98.2102778,20.3275
Heuchera longipetala orizabensis,-99.79625,18.923889
Heuchera longipetala orizabensis,-98.801667,19.206667
Heuchera longipetala orizabensis,-97.1883333,19.1466667
Heuchera longipetala orizabensis,-98.752778,19.475556
Heuchera longipetala orizabensis,-97.1083333,19.525
Heuchera longipetala orizabensis,-99.13475,21.4325278
Heuchera longipetala orizabensis,-102.2638889,19.4597222
Heuchera longipetala orizabensis,-100.247,19.36378
Heuchera longipetala orizabensis,-99.1595,21.217075
Heuchera longipetala orizabensis,-98.733333,20.2
Heuchera longipetala orizabensis,-99.15771,21.24758
