species_name,x,y
Heuchera parvifolia flavescens,-110.96306,34.391557
Heuchera parvifolia flavescens,-109.7823,37.9235
Heuchera parvifolia flavescens,-106.3906629,36.00867469
Heuchera parvifolia flavescens,-106.5906931,35.76419126
Heuchera parvifolia flavescens,-106.41258,35.866657
Heuchera parvifolia flavescens,-110.7756,37.99505
Heuchera parvifolia flavescens,-106.63,35.81
Heuchera parvifolia flavescens,-108.350069,35.041426
Heuchera parvifolia flavescens,-106.849291,36.061764
Heuchera parvifolia flavescens,-106.4,35.85
Heuchera parvifolia flavescens,-109.3656,33.5614
Heuchera parvifolia flavescens,-109.126,33.9127
Heuchera parvifolia flavescens,-110.798927,38.08257
Heuchera parvifolia flavescens,-105.7368755,33.46098946
Heuchera parvifolia flavescens,-109.556727,33.919098
Heuchera parvifolia flavescens,-106.840139,36.048369
Heuchera parvifolia flavescens,-104.92,36.88
Heuchera parvifolia flavescens,-109.563,33.9059
Heuchera parvifolia flavescens,-109.2528,36.2584
Heuchera parvifolia flavescens,-105.828361,35.687615
Heuchera parvifolia flavescens,-110.798927486,38.082570001254
Heuchera parvifolia flavescens,-106.8551792741,36.0316284083
Heuchera parvifolia flavescens,-105.6451400549,35.9620172043
Heuchera parvifolia flavescens,-109.7823,37.92352
Heuchera parvifolia flavescens,-106.4784245079,36.7448384308
Heuchera parvifolia flavescens,-106.524167,35.815042
Heuchera parvifolia flavescens,-106.2984795,35.88632171
Heuchera parvifolia flavescens,-109.533457,33.942466
