Predictor variable,Categorical,Sample average
alt,false,3034.04
alt,false,3034.04
bio1,false,10.6
bio1,false,10.6
bio10,false,111.92
bio10,false,111.92
bio11,false,-85.8
bio11,false,-85.8
bio12,false,571.8
bio12,false,571.8
bio13,false,68.36
bio13,false,68.36
bio14,false,32.08
bio14,false,32.08
bio15,false,24.24
bio15,false,24.24
bio16,false,182.08
bio16,false,182.08
bio17,false,111.64
bio17,false,111.64
bio18,false,168.52
bio18,false,168.52
bio19,false,127.2
bio19,false,127.2
bio2,false,151.44
bio2,false,151.44
bio3,false,39.92
bio3,false,39.92
bio4,false,7785.08
bio4,false,7785.08
bio5,false,207.88
bio5,false,207.88
bio6,false,-167.52
bio6,false,-167.52
bio7,false,375.4
bio7,false,375.4
bio8,false,74.36
bio8,false,74.36
bio9,false,-0.64
bio9,false,-0.64
mask,true,50.0
