Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.24987E-11,0.000000002,0.000000046,0.999905856,0,0
1.69138E-11,0.000000003,0.000000063,0.999811712,0,0
2.32449E-11,0.000000012,0.000000086,0.999435135,0,0
2.84807E-11,0.000000027,0.000000106,0.998870269,0,0
5.19593E-11,0.000000102,0.000000193,0.997081529,0,0
8.39117E-11,0.000000255,0.000000311,0.994916212,0,0
2.18344E-10,0.000001017,0.00000081,0.989644135,0,0
4.70745E-10,0.000002535,0.000001747,0.985595933,0,0
1.20102E-9,0.000010011,0.000004458,0.97618151,0,0
2.23171E-9,0.000025125,0.000008284,0.967708529,0,0
3.80938E-9,0.000050295,0.00001414,0.959894558,0,0
6.44719E-9,0.000100605,0.000023931,0.95057428,0,0
1.19821E-8,0.000250585,0.000044475,0.934758049,0,0
2.1545E-8,0.000500312,0.000079969,0.920542271,0,0
3.8196E-8,0.001003304,0.000141769,0.904443608,0,0
8.39387E-8,0.002506181,0.000311521,0.880248541,0,0
1.4638E-7,0.005013207,0.000543197,0.859160233,0,0
2.41248E-7,0.010013433,0.00089508,0.83458859,0,0
5.01513E-7,0.025012893,0.001859823,0.795330446,0,0
9.22799E-7,0.050015914,0.003419453,0.762003389,0,0
1.5938E-6,0.100048979,0.005898519,0.724063265,0,0
2.72084E-6,0.200181684,0.010048594,0.679909622,0.001233046,0
3.84192E-6,0.300139769,0.014159525,0.650630766,0.001233046,0
4.75429E-6,0.400236305,0.017492542,0.628695161,0.002466091,0
5.76399E-6,0.500028491,0.02116794,0.610807757,0.004932182,0
6.64674E-6,0.600352376,0.024369998,0.595556392,0.004932182,0
7.45141E-6,0.700014408,0.027279692,0.582282056,0.004932182,0
7.88892E-6,0.75076712,0.028858109,0.576068537,0.004932182,0
8.25899E-6,0.800019074,0.030191201,0.570325739,0.004932182,0
9.07396E-6,0.900841791,0.033120504,0.559405008,0.004932182,0
9.7738E-6,1.000893268,0.035628932,0.54942572,0.006165228,0
