species_name,x,y
Heuchera soltisii,-107.187535,33.990898
Heuchera soltisii,-106.55977,32.357783
Heuchera soltisii,-106.556746,32.395305
Heuchera soltisii,-106.541893,32.394867
Heuchera soltisii,-106.549478,32.365033
Heuchera soltisii,-106.56406,32.36085
Heuchera soltisii,-106.5559,32.3657
Heuchera soltisii,-106.547859,32.356987
Heuchera soltisii,-106.555617,32.326025
Heuchera soltisii,-106.549889,32.364662
Heuchera soltisii,-106.567002,32.363968
Heuchera soltisii,-106.568653,32.362508
Heuchera soltisii,-107.567433,33.838785
Heuchera soltisii,-106.54863,32.365809
Heuchera soltisii,-107.144924,33.998629
Heuchera soltisii,-106.560169,32.357999
Heuchera soltisii,-106.558314,32.360525
Heuchera soltisii,-107.414281,33.561067
Heuchera soltisii,-106.567594,32.362808
Heuchera soltisii,-107.132333,34.025328
Heuchera soltisii,-106.559278,32.354126
Heuchera soltisii,-106.561208,32.366487
Heuchera soltisii,-107.0916,34.4243
Heuchera soltisii,-106.56403,32.358411
Heuchera soltisii,-107.16253,33.9174
Heuchera soltisii,-107.241696,34.03709
Heuchera soltisii,-106.557897,32.366267
Heuchera soltisii,-106.563662,32.360501
Heuchera soltisii,-107.424,33.904
Heuchera soltisii,-106.55159,32.338345
Heuchera soltisii,-107.187407,33.991021
Heuchera soltisii,-107.593536,33.532141
Heuchera soltisii,-106.56429,32.35818
Heuchera soltisii,-106.55977,32.35778
Heuchera soltisii,-107.181979,33.953579
Heuchera soltisii,-106.56393,32.35809
