associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera americana,cbs.017427,magnoliopsida,cbs,http://grbio.org/cool/x0m9-a3bs,,hugh s. clark,,,north america,12724.0,united states,usa,litchfield county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1909-06-18,2016-03-21T21:43:25.444854+00:00,0.2318840579710145,,,,,,e950b356b3cb0b8a06ac800071dc0c1046afb2a1,saxifragaceae,,"['dwc_taxonrank_added', 'dwc_taxonremarks_added', 'gbif_canonicalname_added', 'dwc_country_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 41.6041, 'lon': -73.4216}",,true,true,,,,,yale peabody museum of natural history,,,plantae,,,,,,,,,,,3e3bc254-a4e9-4148-9c57-5d6e57b5dcd1,,,,new milford,urn:uuid:f2390709-75a5-4756-a3b6-f16cacb5c34a,saxifragales,tracheophyta,"['urn:uuid:b7b2b1b0-e7d1-4be9-b65b-0deedb2cc9c3', '09edf7d2-e68e-4a42-93da-762f86bb814f\\\\urn:uuid:f2390709-75a5-4756-a3b6-f16cacb5c34a', '09edf7d2-e68e-4a42-93da-762f86bb814f\\\\105782']",,09edf7d2-e68e-4a42-93da-762f86bb814f,heuchera americana,americana,169,connecticut,7412817,doubtful,species,,84f4f225-ee29-4085-b766-fd8aacba8434,,,,,Heuchera americana,-73.4216,41.6041
,,preservedspecimen,,heuchera americana,cbs.017434,magnoliopsida,cbs,,,george h. bartlett,angiosperms; tracheophytes; plants,angiosperms;tracheophytes;plants,north america,8139.0,united states,usa,new haven county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1906-06-09,2021-04-19T21:45:39.489736+00:00,0.2898550724637681,,,,,,2d23fd120421a6331dc60f9fd6b72159075c21ee,saxifragaceae,,"['dwc_country_replaced', 'gbif_vernacularname_added', 'dwc_taxonrank_replaced', 'gbif_canonicalname_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_multimedia_added', 'dwc_taxonremarks_replaced', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_scientificnameauthorship_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonid_added', 'dwc_taxonomicstatus_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.4744, 'lon': -73.2328}",,true,true,plantae; tracheophyta; saxifragales; saxifragaceae,,1.0,,ypm,,,plantae,,,,,,,bank of housatonic river,,,,77b806f2-92aa-42bd-a06e-4e6a13c9ac03,,,,southbury,urn:uuid:9ef0529b-f368-4ec8-ba54-329c1db9a86a,saxifragales,tracheophyta,['1527b668-b797-42be-94d3-0058e1393e94\\\\urn:uuid:9ef0529b-f368-4ec8-ba54-329c1db9a86a'],,1527b668-b797-42be-94d3-0058e1393e94,heuchera americana,americana,160,connecticut,7412817,doubtful,species,,8c201f66-c2ea-43fe-8a63-3337086be649,,,,,Heuchera americana,-73.2328,41.4744
,,preservedspecimen,,heuchera americana,cbs.033425,magnoliopsida,cbs,http://grbio.org/cool/x0m9-a3bs,,hugh s. clark,,,north america,4524.0,united states,usa,new haven county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1904-08-06,2016-03-21T21:43:25.444854+00:00,0.2318840579710145,,,,,,07f7009032fd3bf55bed4164eb781b8a2faeabf6,saxifragaceae,,"['dwc_taxonrank_added', 'dwc_taxonremarks_added', 'gbif_canonicalname_added', 'dwc_country_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'dwc_multimedia_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 41.4389, 'lon': -73.0568}",,true,true,,,,,yale peabody museum of natural history,,,plantae,,,,,,,,,,,6010b300-4313-482c-a30f-903488787838,,,,beacon falls,urn:uuid:68fb78c7-43ca-458d-8e4d-f87e620e5da5,saxifragales,tracheophyta,"['urn:uuid:ac7d99ef-0351-4337-a05e-3acd79026fa8', '09edf7d2-e68e-4a42-93da-762f86bb814f\\\\116026', '09edf7d2-e68e-4a42-93da-762f86bb814f\\\\urn:uuid:68fb78c7-43ca-458d-8e4d-f87e620e5da5']",,09edf7d2-e68e-4a42-93da-762f86bb814f,heuchera americana,americana,219,connecticut,7412817,doubtful,species,,3d239fea-d583-439c-b8fc-a0ef27adf993,,,,,Heuchera americana,-73.0568,41.4389
,,preservedspecimen,,heuchera americana,conn00166114,magnoliopsida,conn,,,h.s. clark,,,north america,5000.0,united states,usa,new haven county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,2002-05-30,2014-09-09T02:15:55.866000+00:00,0.2318840579710145,,,,,,1bc99ff47cb9edc0988b1ebfb6bc6e66e3046251,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.46444, 'lon': -73.16166}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,southford,,,155.0,ad72478b-3a20-42d7-a83a-56b880eca6f6,,,155.0,southford,urn:catalog:uconn:conn:conn00166114,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166114'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera americana l.,americana,150,connecticut,7412817,doubtful,species,,90f54bdc-7261-4d74-b610-1a9515597682,30-may-02,,,,Heuchera americana,-73.16166,41.46444
,,preservedspecimen,,heuchera americana,yu.052431,magnoliopsida,yu,urn:lsid:biocol.org:col:14791,,j. s. smith,,,north america,37206.0,united states,usa,new haven county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1856-00-00,2016-01-27T21:25:22.884015+00:00,0.18840579710144928,,,,,,ff5da32e711d05a40dfbc5135c962dfb95b0f126,saxifragaceae,,"['dwc_taxonrank_added', 'dwc_multimedia_added', 'dwc_taxonremarks_added', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_country_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_class_replaced', 'dwc_continent_added']",,heuchera,,"{'lat': 41.407, 'lon': -72.9316}",,true,true,,,,,yale peabody museum of natural history,,,plantae,,,,,,,,,,,95c8a100-354e-44c5-8853-093d1f15b12c,,,,,urn:uuid:86e75d3d-0715-49f0-a44f-42119e90b88a,saxifragales,tracheophyta,"['urn:uuid:af4397c9-591f-4a01-9bc5-4782974f2cfb', '7a8d946d-083f-4d2a-9cc9-cd590398194f\\\\90285', '7a8d946d-083f-4d2a-9cc9-cd590398194f\\\\urn:uuid:86e75d3d-0715-49f0-a44f-42119e90b88a']",,7a8d946d-083f-4d2a-9cc9-cd590398194f,heuchera americana,americana,,connecticut,7412817,doubtful,species,,80a13dc3-1c7b-4331-8e77-70ff031e7452,,,,,Heuchera americana,-72.9316,41.407
,,preservedspecimen,,heuchera americana,yu.052424,magnoliopsida,yu,,,daniel c. eaton,angiosperms; tracheophytes; plants,angiosperms;tracheophytes;plants,north america,7710.0,united states,usa,new haven county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1889,2021-04-19T21:45:39.489736+00:00,0.2753623188405797,,,,,,982bf3e34b378e40ba104a97baa334a3cf08bd13,saxifragaceae,,"['dwc_country_replaced', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_taxonrank_replaced', 'gbif_canonicalname_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_replaced', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_scientificnameauthorship_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonid_added', 'dwc_taxonomicstatus_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.407, 'lon': -72.9316}",,true,true,plantae; tracheophyta; saxifragales; saxifragaceae,,1.0,,ypm,,,plantae,,,,,,,,,,,d3446319-b6dc-4cf5-906a-44805a7ecc1f,,,,new haven,urn:uuid:c0fb0055-c486-40bb-8400-525bdd17014e,saxifragales,tracheophyta,['1527b668-b797-42be-94d3-0058e1393e94\\\\urn:uuid:c0fb0055-c486-40bb-8400-525bdd17014e'],,1527b668-b797-42be-94d3-0058e1393e94,heuchera americana,americana,279,connecticut,7412817,doubtful,species,,512bfa20-8cc4-42ee-9ccb-8273a4b738d1,,,,,Heuchera americana,-72.9316,41.407
,,preservedspecimen,,heuchera americana,cbs.017431,magnoliopsida,cbs,,,charles h. bissell,angiosperms; tracheophytes; plants,angiosperms;tracheophytes;plants,north america,6153.0,united states,usa,litchfield county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1921-07-21,2021-04-19T21:45:39.489736+00:00,0.2753623188405797,,,,,,a967f080b8725919161c7fe1be427ae65e84efa2,saxifragaceae,,"['dwc_country_replaced', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_taxonrank_replaced', 'gbif_canonicalname_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_replaced', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_scientificnameauthorship_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonid_added', 'dwc_taxonomicstatus_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.554, 'lon': -73.3006}",,true,true,plantae; tracheophyta; saxifragales; saxifragaceae,,1.0,,ypm,,,plantae,,,,,,,,,,,7a5b613c-15ac-411d-b40d-2210c0149c90,,,,roxbury,urn:uuid:04225ece-ca0f-4963-af22-60057252447b,saxifragales,tracheophyta,['1527b668-b797-42be-94d3-0058e1393e94\\\\urn:uuid:04225ece-ca0f-4963-af22-60057252447b'],,1527b668-b797-42be-94d3-0058e1393e94,heuchera americana,americana,202,connecticut,7412817,doubtful,species,,f48fe9b3-1342-4b4c-a9a5-e1147477cad3,,,,,Heuchera americana,-73.3006,41.554
,,preservedspecimen,,heuchera americana,conn00166118,magnoliopsida,conn,,,emma j. thompson,,,north america,5000.0,united states,usa,new haven county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,2007-05-30,2014-09-09T05:03:38.648000+00:00,0.2318840579710145,,,,,,cff2261c00d82eacbf185d44847449197f989179,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.44277, 'lon': -73.0625}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,beacon falls,,,36.0,3c2a931f-d24c-4d74-80c8-6839fbb9470f,,,36.0,beacon falls,urn:catalog:uconn:conn:conn00166118,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166118'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera americana l.,americana,150,connecticut,7412817,doubtful,species,,84b4a107-5b12-4116-8086-95d6451f2836,30-may-07,,,,Heuchera americana,-73.0625,41.44277
,,preservedspecimen,,heuchera americana,conn00166133,magnoliopsida,conn,,,a.e. moss,,,north america,,united states,usa,berkley county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1928-jun,2014-09-09T03:45:49.994000+00:00,0.18840579710144928,,,,,,6cb07d6ff1f804bd7493af069128fc50e5231a98,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_phylum_added', 'dwc_scientificnameauthorship_added', 'dwc_kingdom_replaced', 'gbif_genericname_added', 'dwc_parentnameusageid_added', 'dwc_order_replaced', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'dwc_country_replaced', 'dwc_taxonid_added', 'gbif_reference_added', 'dwc_class_added', 'idigbio_isocountrycode_added', 'gbif_canonicalname_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_added', 'dwc_multimedia_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 39.45611, 'lon': -77.96388}",,true,true,plantae; dicotyledonae; rosales; saxifragaceae,,,,uconn,,,plantae,,,,,,,near martinsburg,,,,f060b57d-3624-42f5-9874-fb0754d6ba37,,,,martinsburg,urn:catalog:uconn:conn:conn00166133,saxifragales,tracheophyta,['e70af26a-fb9e-43ab-96a0-d62a2df37e6d\\\\urn:catalog:uconn:conn:conn00166133'],,e70af26a-fb9e-43ab-96a0-d62a2df37e6d,heuchera americana l.,americana,158,west virginia,7412817,doubtful,species,,68baf527-7edd-40b5-8e37-d313879940a9,jun 1928,,,,Heuchera americana,-77.96388,39.45611
,,preservedspecimen,,heuchera americana,yu.052427,magnoliopsida,yu,,,william d. buell,angiosperms; tracheophytes; plants,angiosperms;tracheophytes;plants,north america,11151.0,united states,usa,litchfield county,046bbc50-cae2-47ff-aa43-729fbf53f7c5,1904-06-29,2021-04-19T21:45:39.489736+00:00,0.2753623188405797,,,,,,5ada111add0c64ce009ceb6aac8b397d5fea904b,saxifragaceae,,"['dwc_country_replaced', 'gbif_vernacularname_added', 'dwc_multimedia_added', 'dwc_taxonrank_replaced', 'gbif_canonicalname_added', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_taxonremarks_replaced', 'dwc_parentnameusageid_added', 'dwc_class_added', 'dwc_scientificnameauthorship_replaced', 'idigbio_isocountrycode_added', 'dwc_taxonid_added', 'dwc_taxonomicstatus_added', 'dwc_datasetid_replaced']",,heuchera,,"{'lat': 41.7413, 'lon': -73.1931}",,true,true,plantae; tracheophyta; saxifragales; saxifragaceae,,1.0,,ypm,,,plantae,,,,,,,,,,,20b72fd8-6564-4d99-b40e-d06e293ea6cf,,,,litchfield,urn:uuid:049e5422-b2be-4119-b44b-f469505fb6e5,saxifragales,tracheophyta,['1527b668-b797-42be-94d3-0058e1393e94\\\\urn:uuid:049e5422-b2be-4119-b44b-f469505fb6e5'],,1527b668-b797-42be-94d3-0058e1393e94,heuchera americana,americana,181,connecticut,7412817,doubtful,species,,6922e3a7-c38e-47ed-881b-b100b62db74e,,,,,Heuchera americana,-73.1931,41.7413
