associatedsequences,barcodeValue,basisOfRecord,bed,canonicalName,catalogNumber,class,collectionCode,collectionID,collectionName,recordedBy,vernacularName,commonnames,continent,coordinateUncertaintyInMeters,country,isoCountryCode,county,datasetID,eventDate,dateModified,dataQualityScore,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,etag,family,fieldNumber,flags,formation,genus,geologicalContextID,geoPoint,group,hasImage,hasMedia,higherClassification,highestBiostratigraphicZone,individualCount,infraspecificEpithet,institutionCode,institutionID,institutionName,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lithostratigraphicTerms,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,mediarecords,member,minimumDepthInMeters,minimumElevationInMeters,municipality,occurrenceID,order,phylum,recordIds,recordNumber,recordset,scientificName,specificEpithet,startDayOfYear,stateProvince,taxonID,taxonomicStatus,taxonRank,typeStatus,uuid,verbatimEventDate,verbatimLocality,version,waterBody,species_name,x,y
,,preservedspecimen,,heuchera hallii,3462544,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,m. e. jones,,,north america,,united states,usa,clear creek co.,7ddf754f-d193-4cc9-b351-99906754a03b,1878-07-24,2021-08-21T02:58:27.774336+00:00,0.2608695652173913,,,,,,cf0d5ca245bb477bb8108d20dac43290954f8520,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 39.706098, 'lon': -105.697504}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,,,,,aeed04b7-b02d-4cc4-889b-88d7943ad9ed,,,,georgetown,17878708-2b1f-4b36-b7f8-3ea61508bdad,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\17878708-2b1f-4b36-b7f8-3ea61508bdad'],499,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera hallii a.gray,hallii,205,colorado,3032688,accepted,species,,d20eceb2-56c7-466d-877b-f41046097a8d,24 jul 1878,,,,Heuchera hallii,-105.697504,39.706098
,,preservedspecimen,,heuchera hallii,01834449,magnoliopsida,v,f5da8b4f-e389-4436-b71d-1c3e0a4baacc,,t. kelso; g. maentz,,,north america,,united states,usa,custer,7ddf754f-d193-4cc9-b351-99906754a03b,2011-06-16,2019-03-16T09:05:24.868223+00:00,0.2608695652173913,,,,,,aa4bb8202cf5cb44b460b58e439b1f46343ca860,saxifragaceae,,"['geopoint_datum_missing', 'dwc_taxonrank_added', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_scientificnameauthorship_replaced', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.049, 'lon': -105.055}",,true,true,,,,,colo,,,plantae,,,,,,,"san isabel nf, wet mts. squirrel cr trail below davenport cpgrd.",,,,1f8276b1-ff8e-46bf-a6ec-38eb2637844a,,,2469.0,,03118100-6d91-47b3-bed2-55b877a61881,saxifragales,tracheophyta,"['a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a\\\\238749', 'a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a\\\\03118100-6d91-47b3-bed2-55b877a61881', 'urn:uuid:03118100-6d91-47b3-bed2-55b877a61881']",11-08,a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a,heuchera hallii,hallii,167,colorado,3032688,accepted,species,,b42c14bb-53d2-4853-b72f-1e826c633d84,06/16/2011,,,,Heuchera hallii,-105.055,38.049
,,preservedspecimen,,heuchera hallii,3462547,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,c. l. shear,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1896-07-03,2021-08-21T02:58:27.774336+00:00,0.2463768115942029,,,,,,0c41920660fbe80dff2c91a341ad2bfb16165db4,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 38.84054, 'lon': -105.04442}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,pikes peak,,,,ebe0294c-3deb-4a9d-9015-a79ed16c1cac,,,,,56325be5-dc9d-44fe-973e-eaec6c44c281,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\56325be5-dc9d-44fe-973e-eaec6c44c281'],3724,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera hallii a.gray,hallii,185,colorado,3032688,accepted,species,,798e49a9-8a29-4c4f-a23a-d28b1e5c7fc0,03 jul 1896,,,,Heuchera hallii,-105.04442,38.84054
,,preservedspecimen,,heuchera hallii,unm0083250,magnoliopsida,vascular plants,274317fa-b413-42b6-bb9a-cfe8f2e54962,,r.m. king; r.m. garvey,,,north america,208.0,united states,usa,jefferson,7ddf754f-d193-4cc9-b351-99906754a03b,2005-06-13,2021-12-17T13:48:08.986377+00:00,0.30434782608695654,,,,,,73e11f597763c150f8e1c00e7ee928222a4c1ae3,saxifragaceae,,"['dwc_multimedia_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_taxonomicstatus_added', 'dwc_continent_added', 'gbif_reference_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.7164, 'lon': -105.3619}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,unm,,,plantae,,,,,,,"along us highway 40, running parallel to interstate 70 on the north between interstate 70 exits 248 and 251.",,,,883e6807-3719-438b-97ab-eea9cdab9667,,,2193.0,,0d6eef1a-1c97-47b8-9fae-e86a3af910f4,saxifragales,tracheophyta,"['96662fa9-ff60-495b-912a-284f3b98ed72\\\\0d6eef1a-1c97-47b8-9fae-e86a3af910f4', 'urn:uuid:0d6eef1a-1c97-47b8-9fae-e86a3af910f4', '96662fa9-ff60-495b-912a-284f3b98ed72\\\\4106994']",13806,96662fa9-ff60-495b-912a-284f3b98ed72,heuchera hallii,hallii,164,colorado,3032688,accepted,species,,84782eaa-7243-4f23-8cbf-11be66bff35b,6/13/2005,,,,Heuchera hallii,-105.3619,39.7164
,,preservedspecimen,,heuchera hallii,khd00007215,magnoliopsida,khd,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,,linda senser; stan smookler,,,north america,10000.0,united states,usa,jefferson,7ddf754f-d193-4cc9-b351-99906754a03b,1999-07-05,2021-12-17T12:31:17.236370+00:00,0.2608695652173913,,,,,,e6a5aed3db6ec1640017267d8a75e4d6f7d0fd6c,saxifragaceae,,"['geopoint_datum_missing', 'dwc_country_replaced', 'dwc_taxonomicstatus_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'dwc_taxonrank_replaced', 'gbif_genericname_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'dwc_phylum_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'dwc_class_added']",,heuchera,,"{'lat': 39.236795, 'lon': -105.28436}",,true,true,plantae|magnoliophyta|eudicots|core eudicots|saxifragales|saxifragaceae|heuchera,,,,dbg,,,plantae,,,,,,,"lost creek wilderness in pike national forest, along the wigwam creek trail, 1 to 2 miles from the trailhead.",,,,bd2eaebc-a463-4d16-b359-e97113581d61,,,2286.0,,2b57c347-3222-4371-ac30-942af5a7d2d8,saxifragales,tracheophyta,"['urn:uuid:2b57c347-3222-4371-ac30-942af5a7d2d8', '5835f642-2560-4e3e-9c25-741a12cc3fe8\\\\urn:uuid:2b57c347-3222-4371-ac30-942af5a7d2d8', '5835f642-2560-4e3e-9c25-741a12cc3fe8\\\\3051048', '5835f642-2560-4e3e-9c25-741a12cc3fe8\\\\2b57c347-3222-4371-ac30-942af5a7d2d8']",72,5835f642-2560-4e3e-9c25-741a12cc3fe8,heuchera hallii,hallii,186,colorado,3032688,accepted,species,,5281a12c-fe66-491c-aca7-a0d910dac5ff,,,,,Heuchera hallii,-105.28436,39.236795
,,preservedspecimen,,heuchera hallii,3462537,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,j. h. barnhart,,,north america,,united states,usa,,7ddf754f-d193-4cc9-b351-99906754a03b,1890-07-15,2022-02-07T14:30:29.712472+00:00,0.2463768115942029,,,,,,351bd9c2daa751d3e56fcb60fc8f205b94088ff5,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 38.90766105582, 'lon': -105.0554408438}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,"carriage road, pike's peak",,,,f517ebfb-b421-4553-be4c-17adb000d018,,,,,4d8ea558-929b-4dd1-92ef-5e15822611a3,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\4d8ea558-929b-4dd1-92ef-5e15822611a3'],523,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera hallii a.gray,hallii,196,colorado,3032688,accepted,species,,5c73b0ca-aaed-4ace-94c5-181f965e204d,15 jul 1890,,,,Heuchera hallii,-105.0554408438,38.90766105582
,,preservedspecimen,,heuchera hallii,20688,magnoliopsida,herb,,,n. h. russell,,,north america,,united states,usa,gunnison co.,7ddf754f-d193-4cc9-b351-99906754a03b,1959-06-27,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,03e53e14b3180afe0be6cfb885697f28f628ea2d,saxifragaceae,,"['geopoint_datum_missing', 'geopoint_low_precision', 'dwc_country_replaced', 'dwc_multimedia_added', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_continent_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_order_added', 'dwc_class_added']",,heuchera,,"{'lat': 38.95, 'lon': -106.983}",,true,true,plantae | dicots | saxifragaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,rocky mountain biological laboratory station property in gothic; 9 mi. nne of crested butte.,,,,04a18e1e-534a-4125-a000-7507f49a456e,,,,,1e292d01-8a8e-4238-a4ec-eeb069fa1ded,saxifragales,tracheophyta,"['f1cf8457-237e-487a-9d13-5de7d81b9de4\\\\urn:catalog:usf:herb:20688', 'f1cf8457-237e-487a-9d13-5de7d81b9de4\\\\1e292d01-8a8e-4238-a4ec-eeb069fa1ded']",10014,f1cf8457-237e-487a-9d13-5de7d81b9de4,heuchera hallii,hallii,178,colorado,3032688,accepted,species,,f8979588-bb28-4ecd-97f1-ec6cd698a5d6,,rocky mountain biological laboratory station property in gothic; 9 mi. nne of crested butte.,,,Heuchera hallii,-106.983,38.95
,,preservedspecimen,,heuchera hallii,3462552,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,f. e. clements,,,north america,,united states,usa,el paso co.,7ddf754f-d193-4cc9-b351-99906754a03b,1896,2021-08-21T02:58:27.774336+00:00,0.2608695652173913,,,,,,9fdc89f55f8950d6d75e934d72efdd6394f17094,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 37.748065, 'lon': -103.146597}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,ruxton,,,,6bfc666e-0df2-4d1a-a462-b60bbd951339,,,,,bf130c1b-2bb9-4127-bda2-8378d9eae095,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\bf130c1b-2bb9-4127-bda2-8378d9eae095'],197,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera hallii a.gray,hallii,287,colorado,3032688,accepted,species,,fab2a446-0e29-4ad2-b6c2-0d8fd465b07b,1896,,,,Heuchera hallii,-103.146597,37.748065
,,preservedspecimen,,heuchera hallii,00967513,magnoliopsida,v,f5da8b4f-e389-4436-b71d-1c3e0a4baacc,,"frank morrey; d. clark, i. shepard, e. vonbargen, l. klein...",,,north america,100.0,united states,usa,el paso,7ddf754f-d193-4cc9-b351-99906754a03b,2009-07-15,2020-07-24T21:15:40.192372+00:00,0.2898550724637681,,,,,,6244f3d4c5e3529c16b28db712a1ce449849ce2c,saxifragaceae,,"['dwc_taxonrank_added', 'gbif_reference_added', 'dwc_taxonid_replaced', 'gbif_canonicalname_added', 'dwc_continent_added', 'gbif_genericname_added', 'dwc_taxonomicstatus_added', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_datasetid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_taxon_corrected', 'dwc_phylum_replaced', 'dwc_class_added']",,heuchera,,"{'lat': 38.81553, 'lon': -105.00153}",,true,true,,,,,colo,,,plantae,,,,,,,"pike-san isabel national forest, pikes peak, ruxton creek drainage above lake moraine.",,,,b844da32-59c6-4793-9a53-b74754aee525,,,3182.0,,1109e257-c212-406c-85dd-83c35c32e1af,saxifragales,tracheophyta,"['a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a\\\\urn:uuid:1109e257-c212-406c-85dd-83c35c32e1af', 'urn:uuid:1109e257-c212-406c-85dd-83c35c32e1af', 'a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a\\\\13566', 'a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a\\\\1109e257-c212-406c-85dd-83c35c32e1af']",37,a2b36fdf-50bc-44ef-a6a4-ca6dc1dc148a,heuchera hallii,hallii,196,colorado,3032688,accepted,species,,00ae678b-ad5d-444f-9495-d013e17140d0,15 july 2009,,,,Heuchera hallii,-105.00153,38.81553
,,preservedspecimen,,heuchera hallii,3462536,magnoliopsida,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,h. d. d. ripley,,,north america,,united states,usa,chaffee co.,7ddf754f-d193-4cc9-b351-99906754a03b,1950-06-29,2021-08-21T02:58:27.774336+00:00,0.2608695652173913,,,,,,8ade6f84249ac0c1e940008874281f0a13116c50,saxifragaceae,,"['dwc_country_replaced', 'gbif_reference_added', 'dwc_taxonrank_replaced', 'dwc_taxonomicstatus_added', 'gbif_genericname_added', 'dwc_datasetid_added', 'gbif_taxon_corrected', 'dwc_scientificnameauthorship_replaced', 'dwc_multimedia_added', 'dwc_parentnameusageid_added', 'dwc_phylum_replaced', 'dwc_taxonid_added', 'idigbio_isocountrycode_added', 'gbif_vernacularname_added', 'gbif_canonicalname_added', 'dwc_class_added', 'taxon_match_failed']",,heuchera,,"{'lat': 38.496669, 'lon': -106.325581}",,true,true,,,,,ny,http://biocol.org/urn:lsid:biocol.org:col:15556,,plantae,,,,,,,monarch pass,,,,dfdfd74b-a883-4689-94ca-06a892b2fc75,,,,,91c01150-1fe0-433d-9d6a-994d22739bd4,saxifragales,tracheophyta,['36d35b23-113e-4633-90ec-19d265a3b5f6\\\\91c01150-1fe0-433d-9d6a-994d22739bd4'],10195,36d35b23-113e-4633-90ec-19d265a3b5f6,heuchera hallii a.gray,hallii,180,colorado,3032688,accepted,species,,c9ad156b-f775-426e-beb4-87e622f7155c,29 jun 1950,,,,Heuchera hallii,-106.325581,38.496669
