species_name,x,y
Mitellastra caulescens,-121.16667,49.13333
Mitellastra caulescens,-123.7868,44.0018
Mitellastra caulescens,-123.4159,44.5362
Mitellastra caulescens,-123.4047,42.0958
Mitellastra caulescens,-115.7,47.98333
Mitellastra caulescens,-122.3749,44.12
Mitellastra caulescens,-122.0111,44.3009
Mitellastra caulescens,-122.33083,47.60639
Mitellastra caulescens,-121.08848,48.6829
Mitellastra caulescens,-115.92694,47.53207
Mitellastra caulescens,-123.53333,44.51666
Mitellastra caulescens,-122.7164,45.5353
Mitellastra caulescens,-123.3963,42.1039
Mitellastra caulescens,-122.0605,44.6769
Mitellastra caulescens,-123.46572,41.08544
Mitellastra caulescens,-123.4574,39.0711
Mitellastra caulescens,-124.1084,44.1914
Mitellastra caulescens,-123.3914,45.4405
Mitellastra caulescens,-123.5778,44.1708
Mitellastra caulescens,-122.9418237,40.20818874
Mitellastra caulescens,-116.70493,47.67505
Mitellastra caulescens,-121.50778,48.06611
Mitellastra caulescens,-115.50098,47.1766
Mitellastra caulescens,-121.9888,45.5996
Mitellastra caulescens,-123.929,43.4822
Mitellastra caulescens,-123.5778,44.1708
Mitellastra caulescens,-123.755,39.2764
Mitellastra caulescens,-123.4937,41.061
Mitellastra caulescens,-122.1112,44.1209
Mitellastra caulescens,-123.4574,39.0711
Mitellastra caulescens,-123.755,39.2764
Mitellastra caulescens,-123.462,44.1219
Mitellastra caulescens,-116.91528,46.81111
Mitellastra caulescens,-112.49151,45.69558
Mitellastra caulescens,-123.8045,40.8188
Mitellastra caulescens,-123.6737554,39.17393155
Mitellastra caulescens,-123.5372508,41.08796884
Mitellastra caulescens,-122.2666,42.9028
Mitellastra caulescens,-123.6539,44.8383
Mitellastra caulescens,-123.445,44.8372
Mitellastra caulescens,-123.445,44.8372
Mitellastra caulescens,-123.7500186,39.27699888
Mitellastra caulescens,-124.4,48.95
Mitellastra caulescens,-123.487,44.4688
Mitellastra caulescens,-123.4118,45.2954
Mitellastra caulescens,-122.817,43.8596
Mitellastra caulescens,-122.7164,45.5353
Mitellastra caulescens,-123.6733494,40.79033243
Mitellastra caulescens,-122.0609,43.9216
Mitellastra caulescens,-122.4167,45.5003
Mitellastra caulescens,-123.3542,44.3639
Mitellastra caulescens,-122.915,47.56528
Mitellastra caulescens,-121.60028,48.28451
Mitellastra caulescens,-123.68259,47.16614
Mitellastra caulescens,-122.2309,44.2045
Mitellastra caulescens,-123.4574,39.0711
Mitellastra caulescens,-123.48442,40.95656
Mitellastra caulescens,-123.5292,41.9907
Mitellastra caulescens,-123.82,40.8199
Mitellastra caulescens,-123.1375,44.0719
Mitellastra caulescens,-124.4,48.95
Mitellastra caulescens,-122.93694,41.22444
Mitellastra caulescens,-115.83972,47.69333
Mitellastra caulescens,-121.16667,49.13333
Mitellastra caulescens,-120.0833,44.1667
Mitellastra caulescens,-122.675,45.5236
Mitellastra caulescens,-122.5692,45.4078
Mitellastra caulescens,-123.2798,44.7214
Mitellastra caulescens,-123.9915,40.43
Mitellastra caulescens,-124.116,41.6543
Mitellastra caulescens,-123.0011432,41.39836881
Mitellastra caulescens,-123.42944,48.11833
Mitellastra caulescens,-117.86667,46.08333
Mitellastra caulescens,-122.6066,44.1388
Mitellastra caulescens,-122.7164,45.5353
Mitellastra caulescens,-123.8332,44.0308
Mitellastra caulescens,-122.7804,42.1785
Mitellastra caulescens,-122.9407,45.0258
Mitellastra caulescens,-123.9218,40.8995
Mitellastra caulescens,-123.81278,40.82
Mitellastra caulescens,-123.315,44.6438
Mitellastra caulescens,-117.83639,48.35611
Mitellastra caulescens,-122.33083,47.60639
Mitellastra caulescens,-123.7421,39.2707
Mitellastra caulescens,-123.7556,39.2764
Mitellastra caulescens,-123.8413,44.0212
Mitellastra caulescens,-122.6894,42.0907
Mitellastra caulescens,-123.0583,43.7978
Mitellastra caulescens,-121.9581,44.7786
Mitellastra caulescens,-121.88083,48.92694
Mitellastra caulescens,-123.8045,40.8188
Mitellastra caulescens,-123.5435,41.089
Mitellastra caulescens,-123.42993,48.03734
Mitellastra caulescens,-123.13875,47.32155
Mitellastra caulescens,-122.3133,42.8456
Mitellastra caulescens,-123.4047,42.0958
Mitellastra caulescens,-123.755,39.2764
Mitellastra caulescens,-124.0288,41.5162
Mitellastra caulescens,-122.93861,40.20139
Mitellastra caulescens,-122.675,45.5236
Mitellastra caulescens,-122.3624,44.0193
Mitellastra caulescens,-122.2696,44.1854
Mitellastra caulescens,-123.55,44.5044
Mitellastra caulescens,-117.425,47.65889
Mitellastra caulescens,-115.7,47.98333
Mitellastra caulescens,-123.9369,40.6974
Mitellastra caulescens,-123.8525,39.8387
Mitellastra caulescens,-123.4601,41.0666
Mitellastra caulescens,-123.2883,44.2158
Mitellastra caulescens,-123.095,43.8177
Mitellastra caulescens,-122.651,44.867
Mitellastra caulescens,-122.60935,47.64592
Mitellastra caulescens,-121.5844,46.90998
Mitellastra caulescens,-123.9165,40.9141
Mitellastra caulescens,-123.1946,41.634
Mitellastra caulescens,-123.7539587,39.27679885
Mitellastra caulescens,-123.3921,45.2381
Mitellastra caulescens,-122.8192,45.7223
Mitellastra caulescens,-123.58146,48.06005
Mitellastra caulescens,-123.9929,40.8495
Mitellastra caulescens,-123.6726,40.79072
Mitellastra caulescens,-122.8294,43.9429
Mitellastra caulescens,-121.9124,42.8025
Mitellastra caulescens,-121.6166,45.4195
Mitellastra caulescens,-122.675,45.5236
