species_name,x,y
Telesonix jamesii,-105.422,35.744
Telesonix jamesii,-104.9563,38.7421
Telesonix jamesii,-105.0724,38.7689
Telesonix jamesii,-104.99266,38.77233
Telesonix jamesii,-104.9883,38.7742
Telesonix jamesii,-105.0817,38.78
Telesonix jamesii,-105.053463,38.791159
Telesonix jamesii,-105.027433,38.806062
Telesonix jamesii,-105.0207,38.8155
Telesonix jamesii,-105.016483,38.817096
Telesonix jamesii,-104.997892,38.820837
Telesonix jamesii,-105.039927,38.824154
Telesonix jamesii,-105.029378,38.829781
Telesonix jamesii,-105.043186,38.838555
Telesonix jamesii,-105.00951,38.85165
Telesonix jamesii,-105.492049,39.277439
Telesonix jamesii,-105.379,39.5117
Telesonix jamesii,-105.379,39.5262
Telesonix jamesii,-105.707731,40.331276
Telesonix jamesii,-105.502537,40.408144
Telesonix jamesii,-105.502414,40.409081
Telesonix jamesii,-105.04319,38.83856
Telesonix jamesii,-105.50254,40.40814
Telesonix jamesii,-105.05346,38.79116
Telesonix jamesii,-107.849,44.9611
Telesonix jamesii,-105.70773,40.33128
Telesonix jamesii,-104.9563,38.7421
Telesonix jamesii,-104.9883,38.7742
Telesonix jamesii,-105.49205,39.27744
Telesonix jamesii,-104.99789,38.82084
Telesonix jamesii,-110.46455,45.47994
Telesonix jamesii,-105.01648,38.8171
Telesonix jamesii,-105.02938,38.82978
Telesonix jamesii,-105.03993,38.82415
Telesonix jamesii,-105.50241,40.40908
Telesonix jamesii,-105.02743,38.80606
Telesonix jamesii,-105.41667,39.2
Telesonix jamesii,-110.51583,45.50333
Telesonix jamesii,-105.0817,38.78
Telesonix jamesii,-105.00951,38.85165
Telesonix jamesii,-105.379,39.5262
Telesonix jamesii,-105.379,39.5117
Telesonix jamesii,-105.0207,38.8155
Telesonix jamesii,-105.0724,38.7689
Telesonix jamesii,-105.04319,38.83856
Telesonix jamesii,-105.50254,40.40814
Telesonix jamesii,-105.05346,38.79116
Telesonix jamesii,-107.849,44.9611
Telesonix jamesii,-105.70773,40.33128
Telesonix jamesii,-104.9563,38.7421
Telesonix jamesii,-104.9883,38.7742
Telesonix jamesii,-110.94923,43.66218
Telesonix jamesii,-105.49205,39.27744
Telesonix jamesii,-104.99789,38.82084
Telesonix jamesii,-110.46455,45.47994
Telesonix jamesii,-105.01648,38.8171
Telesonix jamesii,-105.02938,38.82978
Telesonix jamesii,-105.03993,38.82415
Telesonix jamesii,-105.50241,40.40908
Telesonix jamesii,-105.02743,38.80606
Telesonix jamesii,-105.41667,39.2
Telesonix jamesii,-110.51583,45.50333
Telesonix jamesii,-105.0817,38.78
Telesonix jamesii,-105.00951,38.85165
Telesonix jamesii,-105.379,39.5262
Telesonix jamesii,-105.379,39.5117
Telesonix jamesii,-105.0207,38.8155
Telesonix jamesii,-105.0724,38.7689
